tissue,mode,f1
Kidney,gt,0.8294678723639947
Kidney,approx,0.8337729551703351
Kidney,gt,0.8243391713669005
Kidney,gt,0.8276199051459276
Kidney,gt,0.8252771824401335
Kidney,gt,0.826634022240949
Kidney,gt,0.825250410195061
Kidney,gt,0.8281851264996256
Kidney,gt,0.8283027973016908
Kidney,gt,0.8265743214389298
Kidney,gt,0.827112351810898
Kidney,approx,0.8345386878158977
Kidney,gt,0.8239329841719957
Kidney,gt,0.8284299870921122
Kidney,gt,0.8258342573313965
Kidney,gt,0.8269179200186545
Kidney,gt,0.8254392655080516
Kidney,gt,0.8274793222750819
Kidney,gt,0.829023969341744
Kidney,gt,0.8265743214389298
Kidney,gt,0.8283456168419581
Kidney,approx,0.8358462137749064
Kidney,gt,0.8256261570841623
Kidney,gt,0.829584724928101
Kidney,gt,0.8271847813007859
Kidney,gt,0.8283590530354662
Kidney,gt,0.8265688299996538
Kidney,gt,0.8293273101545398
Kidney,gt,0.8294678723639947
Kidney,gt,0.827112351810898
Kidney,gt,0.8283456168419581
Testis,approx,0.8927812627950712
Testis,gt,0.888381701185189
Testis,gt,0.8888300762258748
Testis,gt,0.8896231430257217
Testis,gt,0.8874212970846971
Testis,gt,0.8899267080730842
Testis,gt,0.8904778579265589
Testis,gt,0.8895179521547356
Testis,gt,0.8884499685189935
Testis,gt,0.8893206014451215
Testis,approx,0.8900790172976857
Testis,gt,0.888381701185189
Testis,gt,0.8872130964535477
Testis,gt,0.8875881413151017
Testis,gt,0.885311698011359
Testis,gt,0.8879394147539743
Testis,gt,0.8875532023879373
Testis,gt,0.8874383067412615
Testis,gt,0.8866547893718368
Testis,gt,0.8874253156509052
Testis,approx,0.890459024498255
Testis,gt,0.8888300762258748
Testis,gt,0.8872130964535477
Testis,gt,0.8881058748995143
Testis,gt,0.8861752064575495
Testis,gt,0.8883824861318821
Testis,gt,0.8883711063347678
Testis,gt,0.8878049800678772
Testis,gt,0.8868908729327055
Testis,gt,0.8879098176696836
Testis,approx,0.8914284909222403
Testis,gt,0.8896231430257217
Testis,gt,0.8875881413151017
Testis,gt,0.8881058748995143
Testis,gt,0.88665606021167
Testis,gt,0.8891627457118694
Testis,gt,0.888943398827024
Testis,gt,0.8883067164074835
Testis,gt,0.8873987349378613
Testis,gt,0.8884719187765069
Testis,approx,0.8887487620063409
Testis,gt,0.8874212970846971
Testis,gt,0.885311698011359
Testis,gt,0.8861752064575495
Testis,gt,0.88665606021167
Testis,gt,0.886756918441052
Testis,gt,0.8864424014291779
Testis,gt,0.8866028513475029
Testis,gt,0.8852105358798615
Testis,gt,0.8867082753544923
Testis,approx,0.8914315339069728
Testis,gt,0.8899267080730842
Testis,gt,0.8879394147539743
Testis,gt,0.8883824861318821
Testis,gt,0.8891627457118694
Testis,gt,0.886756918441052
Testis,gt,0.8893782332025174
Testis,gt,0.8887640344877324
Testis,gt,0.8876923561139548
Testis,gt,0.8885711417652785
Testis,approx,0.8920181516003458
Testis,gt,0.8904778579265589
Testis,gt,0.8875532023879373
Testis,gt,0.8883711063347678
Testis,gt,0.888943398827024
Testis,gt,0.8864424014291779
Testis,gt,0.8893782332025174
Testis,gt,0.8891597853662395
Testis,gt,0.8880167110008649
Testis,gt,0.8888048508616816
Testis,approx,0.8914321389489043
Testis,gt,0.8895179521547356
Testis,gt,0.8874383067412615
Testis,gt,0.8878049800678772
Testis,gt,0.8883067164074835
Testis,gt,0.8866028513475029
Testis,gt,0.8887640344877324
Testis,gt,0.8891597853662395
Testis,gt,0.887809559885524
Testis,gt,0.888250528799503
Testis,approx,0.8899811017238086
Testis,gt,0.8884499685189935
Testis,gt,0.8866547893718368
Testis,gt,0.8868908729327055
Testis,gt,0.8873987349378613
Testis,gt,0.8852105358798615
Testis,gt,0.8876923561139548
Testis,gt,0.8880167110008649
Testis,gt,0.887809559885524
Testis,gt,0.8871752120558487
Testis,approx,0.8909025638378496
Testis,gt,0.8893206014451215
Testis,gt,0.8874253156509052
Testis,gt,0.8879098176696836
Testis,gt,0.8884719187765069
Testis,gt,0.8867082753544923
Testis,gt,0.8885711417652785
Testis,gt,0.8888048508616816
Testis,gt,0.888250528799503
Testis,gt,0.8871752120558487
