source	target	mor
HOXA9	SHOX	11.1960771208327
HOXA9	SCMH1	12.6122348078751
HOXA9	VEZF1	10.3225187381431
HOXA9	FGF2	11.4585000505649
HOXA9	HOXB4	7.45519543784664
HOXA9	PRDM16	11.4558670276544
HOXA9	ARHGEF1	8.4149766160341
HOXA9	CDH3	11.7938117308059
HOXA9	ID2	10.8923249800208
HOXA9	MYCN	9.69251499231142
HOXA9	NFKB1	7.9172508755375
HOXA9	RELA	8.83501795274232
HOXA9	VCAM1	11.3549892941813
HOXA9	IGF1	8.99610710748232
HOXA9	MEF2C	9.11573638988265
HOXA9	MSI2	10.4101123265225
HOXA9	BRCA1	10.6771126878306
HOXA9	MYB	8.06801850659398
HOXA9	IGF1R	11.645224457022
HOXA9	CREB1	9.54770260246919
HOXA9	PKNOX1	5.42457191331412
HOXA9	MEIS1	9.3869151759249
MTF2	ACE2	11.5820960184412
MTF2	NDUFB6	10.001951011437
MTF2	SHH	10.9756819748239
MTF2	MCAT	10.8340116262891
MTF2	CBX2	9.93811683964644
MTF2	CDKN2A	8.63652448769099
NKX6-1	INS	7.62195432958124
NKX6-1	GLP1R	8.8261140405829
NKX6-1	PC	8.97017062783023
NKX6-1	PCSK1	11.9892818338891
NKX6-1	SLC2A2	13.0426147105604
NKX6-1	GCG	6.05886512095952
NKX6-1	UGT1A1	9.80533113111596
NKX6-1	BLK	8.09623827893479
NKX6-1	HNF1A	9.58266917314787
NKX6-1	PDX1	11.2267190425372
NKX6-1	DNER	5.22534056758294
NKX6-1	ARX	13.4177655814075
NKX6-1	WNT1	12.3020290550256
NKX6-1	CCNE1	7.26163065951992
NKX6-1	IAPP	6.74802358030509
NKX6-1	E2F1	7.07761414608261
NKX6-1	MAFA	5.32343948618667
NKX6-1	IL6	11.4181153997123
NKX6-1	OLIG2	10.2143578430942
RUNX2	BGLAP	8.33553709205078
RUNX2	MMP13	12.17441462771
RUNX2	CEBPD	11.5615559364802
RUNX2	AMBN	10.3863338183282
RUNX2	TNFSF11	9.6173693266843
RUNX2	CDKN1A	10.6669145861413
RUNX2	DSPP	9.56358936321913
RUNX2	TAFAZZIN	5.09223613946701
RUNX2	IBSP	9.93374324462896
RUNX2	CCNE1	6.94013146561256
RUNX2	SPP1	11.6060593503783
RUNX2	MMP14	11.4834223557748
RUNX2	SOST	9.45646933494143
RUNX2	TIMP1	7.34086219832243
RUNX2	IHH	7.79791197923168
RUNX2	VEGFA	10.1682346103508
RUNX2	FGF3	6.94011181740799
RUNX2	PTTG1	10.2575592099562
RUNX2	PTTG1IP	10.5993753196995
RUNX2	BMP2	8.30772502149572
RUNX2	CSN2	7.33977214137287
RUNX2	FGFR2	9.90242055661749
RUNX2	MMP9	6.63082387586957
RUNX2	KLK3	8.06708009784273
RUNX2	GNAS	9.28016402169724
RUNX2	PTGS2	9.8407894111283
RUNX2	SP7	9.94790048254867
RUNX2	LEF1	9.14367141725267
RUNX2	NOBOX	10.2401776467871
RUNX2	TGFBR1	6.287185772661
RUNX2	NELL1	14.4017445500665
RUNX2	NFATC2	6.4553119731307
RUNX2	FGF18	10.2857410460198
RUNX2	PRKN	8.46722206337011
RUNX2	ESR1	12.3818187868956
RUNX2	TERT	9.99752811500193
RUNX2	DMP1	6.58338133433381
RUNX2	BAX	12.1031573775448
RUNX2	ZFP64	11.1085542696492
SFPQ	SP1	11.7547109570443
SFPQ	CYP11A1	7.73461394195027
SFPQ	CYP2B6	11.5896342702973
SFPQ	IGF1	8.93117673629431
SFPQ	CYP17A1	12.6934127302231
SFPQ	TH	10.5490458911637
SFPQ	AR	10.7350582914398
SFPQ	DNAAF4	8.23405005315863
SFPQ	PPARGC1A	12.7123783746406
SFPQ	AIFM1	6.4176267830983
SFPQ	RBP4	14.106158824518
SFPQ	TOP2B	9.4576192762739
SFPQ	STAT6	13.0267947744084
SFPQ	PRL	12.3294847792693
SFPQ	PER1	8.54404824267906
SFPQ	SIN3A	4.46348221057068
SFPQ	GJA1	9.06667241024767
SFPQ	SMC3	9.63554400881341
SFPQ	CTBP1	14.5900316085291
SFPQ	EPHX1	8.93965895419424
SFPQ	ACTB	10.47969438726
SFPQ	ADARB2	10.2108842018793
SFPQ	CXCL8	12.3569671841217
SFPQ	HSPA9	6.51420741526895
SFPQ	PGR	7.27706927300146
SFPQ	NR3C1	11.5386637761966
SFPQ	HDAC2	6.81848158265832
SFPQ	PTGS2	6.56228535695772
SFPQ	PTPRC	8.91332823381666
ST18	TNF	11.3671656599121
ST18	IL6	11.090694069488
