	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
13	91	21	0.23076923076923078	$\alpha$=0.05	50.0	data_1	5_sources
14	136	28	0.20588235294117646	$\alpha$=0.05	75.0	data_1	5_sources
15	182	32	0.17582417582417584	$\alpha$=0.05	100.0	data_1	5_sources
0	0	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_1	5_sources
1	1	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_1	5_sources
2	3	0	0.0	$\alpha$=0.05 (BH-adj)	2.0	data_1	5_sources
3	5	0	0.0	$\alpha$=0.05 (BH-adj)	3.0	data_1	5_sources
4	6	0	0.0	$\alpha$=0.05 (BH-adj)	4.0	data_1	5_sources
5	8	0	0.0	$\alpha$=0.05 (BH-adj)	5.0	data_1	5_sources
6	10	0	0.0	$\alpha$=0.05 (BH-adj)	6.0	data_1	5_sources
7	12	0	0.0	$\alpha$=0.05 (BH-adj)	7.0	data_1	5_sources
8	13	0	0.0	$\alpha$=0.05 (BH-adj)	8.0	data_1	5_sources
9	15	0	0.0	$\alpha$=0.05 (BH-adj)	9.0	data_1	5_sources
10	17	0	0.0	$\alpha$=0.05 (BH-adj)	10.0	data_1	5_sources
11	25	2	0.08	$\alpha$=0.05 (BH-adj)	15.0	data_1	5_sources
12	34	7	0.20588235294117646	$\alpha$=0.05 (BH-adj)	20.0	data_1	5_sources
13	86	19	0.22093023255813954	$\alpha$=0.05 (BH-adj)	50.0	data_1	5_sources
14	129	27	0.20930232558139536	$\alpha$=0.05 (BH-adj)	75.0	data_1	5_sources
15	173	32	0.18497109826589594	$\alpha$=0.05 (BH-adj)	100.0	data_1	5_sources
0	1	0	0.0	unfiltered	0.5	data_1	5_sources
1	2	0	0.0	unfiltered	1.0	data_1	5_sources
2	4	0	0.0	unfiltered	2.0	data_1	5_sources
3	7	0	0.0	unfiltered	3.0	data_1	5_sources
4	9	0	0.0	unfiltered	4.0	data_1	5_sources
5	12	0	0.0	unfiltered	5.0	data_1	5_sources
6	14	0	0.0	unfiltered	6.0	data_1	5_sources
7	17	0	0.0	unfiltered	7.0	data_1	5_sources
8	19	0	0.0	unfiltered	8.0	data_1	5_sources
9	22	1	0.045454545454545456	unfiltered	9.0	data_1	5_sources
10	24	2	0.08333333333333333	unfiltered	10.0	data_1	5_sources
11	36	8	0.2222222222222222	unfiltered	15.0	data_1	5_sources
12	49	10	0.20408163265306123	unfiltered	20.0	data_1	5_sources
13	122	27	0.22131147540983606	unfiltered	50.0	data_1	5_sources
14	183	32	0.17486338797814208	unfiltered	75.0	data_1	5_sources
15	245	39	0.15918367346938775	unfiltered	100.0	data_1	5_sources
0	0	0	0.0	$\alpha$=0.05	0.5	data_2	5_sources
1	0	0	0.0	$\alpha$=0.05	1.0	data_2	5_sources
2	1	1	1.0	$\alpha$=0.05	2.0	data_2	5_sources
3	2	1	0.5	$\alpha$=0.05	3.0	data_2	5_sources
4	3	1	0.3333333333333333	$\alpha$=0.05	4.0	data_2	5_sources
5	3	1	0.3333333333333333	$\alpha$=0.05	5.0	data_2	5_sources
6	4	1	0.25	$\alpha$=0.05	6.0	data_2	5_sources
7	5	1	0.2	$\alpha$=0.05	7.0	data_2	5_sources
8	6	2	0.3333333333333333	$\alpha$=0.05	8.0	data_2	5_sources
9	6	2	0.3333333333333333	$\alpha$=0.05	9.0	data_2	5_sources
10	7	2	0.2857142857142857	$\alpha$=0.05	10.0	data_2	5_sources
11	11	3	0.2727272727272727	$\alpha$=0.05	15.0	data_2	5_sources
12	15	5	0.3333333333333333	$\alpha$=0.05	20.0	data_2	5_sources
13	38	9	0.23684210526315788	$\alpha$=0.05	50.0	data_2	5_sources
14	57	13	0.22807017543859648	$\alpha$=0.05	75.0	data_2	5_sources
15	76	16	0.21052631578947367	$\alpha$=0.05	100.0	data_2	5_sources
0	0	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_2	5_sources
1	0	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_2	5_sources
2	0	0	0.0	$\alpha$=0.05 (BH-adj)	2.0	data_2	5_sources
3	1	1	1.0	$\alpha$=0.05 (BH-adj)	3.0	data_2	5_sources
4	1	1	1.0	$\alpha$=0.05 (BH-adj)	4.0	data_2	5_sources
5	2	1	0.5	$\alpha$=0.05 (BH-adj)	5.0	data_2	5_sources
6	2	1	0.5	$\alpha$=0.05 (BH-adj)	6.0	data_2	5_sources
7	3	1	0.3333333333333333	$\alpha$=0.05 (BH-adj)	7.0	data_2	5_sources
8	3	1	0.3333333333333333	$\alpha$=0.05 (BH-adj)	8.0	data_2	5_sources
9	4	1	0.25	$\alpha$=0.05 (BH-adj)	9.0	data_2	5_sources
10	4	1	0.25	$\alpha$=0.05 (BH-adj)	10.0	data_2	5_sources
11	7	2	0.2857142857142857	$\alpha$=0.05 (BH-adj)	15.0	data_2	5_sources
12	9	3	0.3333333333333333	$\alpha$=0.05 (BH-adj)	20.0	data_2	5_sources
13	24	7	0.2916666666666667	$\alpha$=0.05 (BH-adj)	50.0	data_2	5_sources
14	36	8	0.2222222222222222	$\alpha$=0.05 (BH-adj)	75.0	data_2	5_sources
15	48	12	0.25	$\alpha$=0.05 (BH-adj)	100.0	data_2	5_sources
0	0	0	0.0	unfiltered	0.5	data_2	5_sources
1	1	1	1.0	unfiltered	1.0	data_2	5_sources
2	3	1	0.3333333333333333	unfiltered	2.0	data_2	5_sources
3	5	1	0.2	unfiltered	3.0	data_2	5_sources
4	7	2	0.2857142857142857	unfiltered	4.0	data_2	5_sources
5	9	3	0.3333333333333333	unfiltered	5.0	data_2	5_sources
6	11	3	0.2727272727272727	unfiltered	6.0	data_2	5_sources
7	13	4	0.3076923076923077	unfiltered	7.0	data_2	5_sources
8	15	5	0.3333333333333333	unfiltered	8.0	data_2	5_sources
9	17	6	0.35294117647058826	unfiltered	9.0	data_2	5_sources
10	19	6	0.3157894736842105	unfiltered	10.0	data_2	5_sources
11	29	7	0.2413793103448276	unfiltered	15.0	data_2	5_sources
12	39	9	0.23076923076923078	unfiltered	20.0	data_2	5_sources
13	97	18	0.18556701030927836	unfiltered	50.0	data_2	5_sources
14	146	20	0.136986301369863	unfiltered	75.0	data_2	5_sources
15	195	26	0.13333333333333333	unfiltered	100.0	data_2	5_sources
0	1	0	0.0	$\alpha$=0.05	0.5	data_3	5_sources
1	3	0	0.0	$\alpha$=0.05	1.0	data_3	5_sources
2	6	0	0.0	$\alpha$=0.05	2.0	data_3	5_sources
3	9	1	0.1111111111111111	$\alpha$=0.05	3.0	data_3	5_sources
4	13	3	0.23076923076923078	$\alpha$=0.05	4.0	data_3	5_sources
5	16	4	0.25	$\alpha$=0.05	5.0	data_3	5_sources
6	19	4	0.21052631578947367	$\alpha$=0.05	6.0	data_3	5_sources
7	22	5	0.22727272727272727	$\alpha$=0.05	7.0	data_3	5_sources
8	26	7	0.2692307692307692	$\alpha$=0.05	8.0	data_3	5_sources
9	29	7	0.2413793103448276	$\alpha$=0.05	9.0	data_3	5_sources
10	32	9	0.28125	$\alpha$=0.05	10.0	data_3	5_sources
11	48	13	0.2708333333333333	$\alpha$=0.05	15.0	data_3	5_sources
12	65	18	0.27692307692307694	$\alpha$=0.05	20.0	data_3	5_sources
13	162	45	0.2777777777777778	$\alpha$=0.05	50.0	data_3	5_sources
14	243	57	0.2345679012345679	$\alpha$=0.05	75.0	data_3	5_sources
