	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
4	61	13	0.21311475409836064	$\alpha$=0.05	4.0	data_5	10_sources
5	77	16	0.2077922077922078	$\alpha$=0.05	5.0	data_5	10_sources
6	92	18	0.1956521739130435	$\alpha$=0.05	6.0	data_5	10_sources
7	108	20	0.18518518518518517	$\alpha$=0.05	7.0	data_5	10_sources
8	123	25	0.2032520325203252	$\alpha$=0.05	8.0	data_5	10_sources
9	139	27	0.19424460431654678	$\alpha$=0.05	9.0	data_5	10_sources
10	154	31	0.2012987012987013	$\alpha$=0.05	10.0	data_5	10_sources
11	232	45	0.1939655172413793	$\alpha$=0.05	15.0	data_5	10_sources
12	309	53	0.1715210355987055	$\alpha$=0.05	20.0	data_5	10_sources
13	774	99	0.12790697674418605	$\alpha$=0.05	50.0	data_5	10_sources
14	1161	127	0.10938845822566753	$\alpha$=0.05	75.0	data_5	10_sources
15	1549	165	0.1065203357004519	$\alpha$=0.05	100.0	data_5	10_sources
0	7	3	0.42857142857142855	$\alpha$=0.05 (BH-adj)	0.5	data_5	10_sources
1	14	4	0.2857142857142857	$\alpha$=0.05 (BH-adj)	1.0	data_5	10_sources
2	29	7	0.2413793103448276	$\alpha$=0.05 (BH-adj)	2.0	data_5	10_sources
3	44	10	0.22727272727272727	$\alpha$=0.05 (BH-adj)	3.0	data_5	10_sources
4	58	12	0.20689655172413793	$\alpha$=0.05 (BH-adj)	4.0	data_5	10_sources
5	73	15	0.2054794520547945	$\alpha$=0.05 (BH-adj)	5.0	data_5	10_sources
6	88	17	0.19318181818181818	$\alpha$=0.05 (BH-adj)	6.0	data_5	10_sources
7	102	19	0.18627450980392157	$\alpha$=0.05 (BH-adj)	7.0	data_5	10_sources
8	117	22	0.18803418803418803	$\alpha$=0.05 (BH-adj)	8.0	data_5	10_sources
9	132	25	0.1893939393939394	$\alpha$=0.05 (BH-adj)	9.0	data_5	10_sources
10	147	28	0.19047619047619047	$\alpha$=0.05 (BH-adj)	10.0	data_5	10_sources
11	220	42	0.19090909090909092	$\alpha$=0.05 (BH-adj)	15.0	data_5	10_sources
12	294	52	0.17687074829931973	$\alpha$=0.05 (BH-adj)	20.0	data_5	10_sources
13	735	94	0.12789115646258503	$\alpha$=0.05 (BH-adj)	50.0	data_5	10_sources
14	1102	123	0.11161524500907441	$\alpha$=0.05 (BH-adj)	75.0	data_5	10_sources
15	1470	154	0.10476190476190476	$\alpha$=0.05 (BH-adj)	100.0	data_5	10_sources
0	10	4	0.4	unfiltered	0.5	data_5	10_sources
1	21	6	0.2857142857142857	unfiltered	1.0	data_5	10_sources
2	43	10	0.23255813953488372	unfiltered	2.0	data_5	10_sources
3	65	13	0.2	unfiltered	3.0	data_5	10_sources
4	87	17	0.19540229885057472	unfiltered	4.0	data_5	10_sources
5	109	21	0.1926605504587156	unfiltered	5.0	data_5	10_sources
6	131	25	0.19083969465648856	unfiltered	6.0	data_5	10_sources
7	153	31	0.20261437908496732	unfiltered	7.0	data_5	10_sources
8	175	35	0.2	unfiltered	8.0	data_5	10_sources
9	197	39	0.19796954314720813	unfiltered	9.0	data_5	10_sources
10	219	42	0.1917808219178082	unfiltered	10.0	data_5	10_sources
11	328	56	0.17073170731707318	unfiltered	15.0	data_5	10_sources
12	438	67	0.15296803652968036	unfiltered	20.0	data_5	10_sources
13	1095	122	0.11141552511415526	unfiltered	50.0	data_5	10_sources
14	1642	169	0.10292326431181487	unfiltered	75.0	data_5	10_sources
15	2190	212	0.09680365296803653	unfiltered	100.0	data_5	10_sources
0	4	1	0.25	$\alpha$=0.05	0.5	data_6	10_sources
1	8	3	0.375	$\alpha$=0.05	1.0	data_6	10_sources
2	17	4	0.23529411764705882	$\alpha$=0.05	2.0	data_6	10_sources
3	25	5	0.2	$\alpha$=0.05	3.0	data_6	10_sources
4	34	7	0.20588235294117646	$\alpha$=0.05	4.0	data_6	10_sources
5	43	10	0.23255813953488372	$\alpha$=0.05	5.0	data_6	10_sources
6	51	11	0.21568627450980393	$\alpha$=0.05	6.0	data_6	10_sources
7	60	11	0.18333333333333332	$\alpha$=0.05	7.0	data_6	10_sources
8	68	12	0.17647058823529413	$\alpha$=0.05	8.0	data_6	10_sources
9	77	14	0.18181818181818182	$\alpha$=0.05	9.0	data_6	10_sources
10	86	17	0.19767441860465115	$\alpha$=0.05	10.0	data_6	10_sources
11	129	26	0.20155038759689922	$\alpha$=0.05	15.0	data_6	10_sources
12	172	37	0.21511627906976744	$\alpha$=0.05	20.0	data_6	10_sources
13	430	70	0.16279069767441862	$\alpha$=0.05	50.0	data_6	10_sources
14	645	85	0.13178294573643412	$\alpha$=0.05	75.0	data_6	10_sources
15	860	97	0.1127906976744186	$\alpha$=0.05	100.0	data_6	10_sources
0	3	1	0.3333333333333333	$\alpha$=0.05 (BH-adj)	0.5	data_6	10_sources
1	7	2	0.2857142857142857	$\alpha$=0.05 (BH-adj)	1.0	data_6	10_sources
2	15	4	0.26666666666666666	$\alpha$=0.05 (BH-adj)	2.0	data_6	10_sources
3	22	5	0.22727272727272727	$\alpha$=0.05 (BH-adj)	3.0	data_6	10_sources
4	30	6	0.2	$\alpha$=0.05 (BH-adj)	4.0	data_6	10_sources
5	37	8	0.21621621621621623	$\alpha$=0.05 (BH-adj)	5.0	data_6	10_sources
6	45	10	0.2222222222222222	$\alpha$=0.05 (BH-adj)	6.0	data_6	10_sources
7	52	11	0.21153846153846154	$\alpha$=0.05 (BH-adj)	7.0	data_6	10_sources
8	60	11	0.18333333333333332	$\alpha$=0.05 (BH-adj)	8.0	data_6	10_sources
9	67	12	0.1791044776119403	$\alpha$=0.05 (BH-adj)	9.0	data_6	10_sources
10	75	13	0.17333333333333334	$\alpha$=0.05 (BH-adj)	10.0	data_6	10_sources
11	112	22	0.19642857142857142	$\alpha$=0.05 (BH-adj)	15.0	data_6	10_sources
12	150	31	0.20666666666666667	$\alpha$=0.05 (BH-adj)	20.0	data_6	10_sources
13	376	62	0.16489361702127658	$\alpha$=0.05 (BH-adj)	50.0	data_6	10_sources
14	564	82	0.1453900709219858	$\alpha$=0.05 (BH-adj)	75.0	data_6	10_sources
15	752	89	0.11835106382978723	$\alpha$=0.05 (BH-adj)	100.0	data_6	10_sources
0	7	2	0.2857142857142857	unfiltered	0.5	data_6	10_sources
1	14	4	0.2857142857142857	unfiltered	1.0	data_6	10_sources
2	29	6	0.20689655172413793	unfiltered	2.0	data_6	10_sources
3	44	10	0.22727272727272727	unfiltered	3.0	data_6	10_sources
4	59	11	0.1864406779661017	unfiltered	4.0	data_6	10_sources
5	74	13	0.17567567567567569	unfiltered	5.0	data_6	10_sources
6	89	17	0.19101123595505617	unfiltered	6.0	data_6	10_sources
7	104	21	0.20192307692307693	unfiltered	7.0	data_6	10_sources
8	119	23	0.19327731092436976	unfiltered	8.0	data_6	10_sources
9	134	28	0.208955223880597	unfiltered	9.0	data_6	10_sources
10	149	30	0.20134228187919462	unfiltered	10.0	data_6	10_sources
11	223	47	0.21076233183856502	unfiltered	15.0	data_6	10_sources
12	298	50	0.16778523489932887	unfiltered	20.0	data_6	10_sources
13	745	92	0.12348993288590604	unfiltered	50.0	data_6	10_sources
14	1117	125	0.11190689346463742	unfiltered	75.0	data_6	10_sources
15	1490	141	0.09463087248322148	unfiltered	100.0	data_6	10_sources
0	2	0	0.0	$\alpha$=0.05	0.5	data_7	10_sources
1	5	0	0.0	$\alpha$=0.05	1.0	data_7	10_sources
2	10	1	0.1	$\alpha$=0.05	2.0	data_7	10_sources
3	15	1	0.06666666666666667	$\alpha$=0.05	3.0	data_7	10_sources
4	20	2	0.1	$\alpha$=0.05	4.0	data_7	10_sources
5	25	2	0.08	$\alpha$=0.05	5.0	data_7	10_sources
6	30	3	0.1	$\alpha$=0.05	6.0	data_7	10_sources
7	35	4	0.11428571428571428	$\alpha$=0.05	7.0	data_7	10_sources
8	40	6	0.15	$\alpha$=0.05	8.0	data_7	10_sources
9	45	6	0.13333333333333333	$\alpha$=0.05	9.0	data_7	10_sources
10	50	6	0.12	$\alpha$=0.05	10.0	data_7	10_sources
11	76	8	0.10526315789473684	$\alpha$=0.05	15.0	data_7	10_sources
12	101	11	0.10891089108910891	$\alpha$=0.05	20.0	data_7	10_sources
13	253	32	0.12648221343873517	$\alpha$=0.05	50.0	data_7	10_sources
14	380	43	0.11315789473684211	$\alpha$=0.05	75.0	data_7	10_sources
15	507	52	0.10256410256410256	$\alpha$=0.05	100.0	data_7	10_sources
0	2	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_7	10_sources
1	4	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_7	10_sources
2	9	1	0.1111111111111111	$\alpha$=0.05 (BH-adj)	2.0	data_7	10_sources
3	14	1	0.07142857142857142	$\alpha$=0.05 (BH-adj)	3.0	data_7	10_sources
4	19	2	0.10526315789473684	$\alpha$=0.05 (BH-adj)	4.0	data_7	10_sources
5	23	2	0.08695652173913043	$\alpha$=0.05 (BH-adj)	5.0	data_7	10_sources
6	28	3	0.10714285714285714	$\alpha$=0.05 (BH-adj)	6.0	data_7	10_sources
7	33	4	0.12121212121212122	$\alpha$=0.05 (BH-adj)	7.0	data_7	10_sources
8	38	5	0.13157894736842105	$\alpha$=0.05 (BH-adj)	8.0	data_7	10_sources
9	43	6	0.13953488372093023	$\alpha$=0.05 (BH-adj)	9.0	data_7	10_sources
10	47	6	0.1276595744680851	$\alpha$=0.05 (BH-adj)	10.0	data_7	10_sources
11	71	7	0.09859154929577464	$\alpha$=0.05 (BH-adj)	15.0	data_7	10_sources
12	95	10	0.10526315789473684	$\alpha$=0.05 (BH-adj)	20.0	data_7	10_sources
13	239	30	0.12552301255230125	$\alpha$=0.05 (BH-adj)	50.0	data_7	10_sources
14	358	39	0.10893854748603352	$\alpha$=0.05 (BH-adj)	75.0	data_7	10_sources
15	478	51	0.10669456066945607	$\alpha$=0.05 (BH-adj)	100.0	data_7	10_sources
0	3	0	0.0	unfiltered	0.5	data_7	10_sources
1	7	1	0.14285714285714285	unfiltered	1.0	data_7	10_sources
2	14	1	0.07142857142857142	unfiltered	2.0	data_7	10_sources
3	21	2	0.09523809523809523	unfiltered	3.0	data_7	10_sources
4	28	3	0.10714285714285714	unfiltered	4.0	data_7	10_sources
5	35	4	0.11428571428571428	unfiltered	5.0	data_7	10_sources
6	42	6	0.14285714285714285	unfiltered	6.0	data_7	10_sources
7	49	6	0.12244897959183673	unfiltered	7.0	data_7	10_sources
8	56	6	0.10714285714285714	unfiltered	8.0	data_7	10_sources
9	63	6	0.09523809523809523	unfiltered	9.0	data_7	10_sources
10	71	7	0.09859154929577464	unfiltered	10.0	data_7	10_sources
11	106	12	0.11320754716981132	unfiltered	15.0	data_7	10_sources
12	142	18	0.1267605633802817	unfiltered	20.0	data_7	10_sources
13	355	39	0.10985915492957747	unfiltered	50.0	data_7	10_sources
14	533	54	0.10131332082551595	unfiltered	75.0	data_7	10_sources
15	711	62	0.08720112517580872	unfiltered	100.0	data_7	10_sources
0	6	0	0.0	$\alpha$=0.05	0.5	data_8	10_sources
1	12	1	0.08333333333333333	$\alpha$=0.05	1.0	data_8	10_sources
2	24	3	0.125	$\alpha$=0.05	2.0	data_8	10_sources
3	36	6	0.16666666666666666	$\alpha$=0.05	3.0	data_8	10_sources
4	48	9	0.1875	$\alpha$=0.05	4.0	data_8	10_sources
5	60	11	0.18333333333333332	$\alpha$=0.05	5.0	data_8	10_sources
6	72	15	0.20833333333333334	$\alpha$=0.05	6.0	data_8	10_sources
7	84	16	0.19047619047619047	$\alpha$=0.05	7.0	data_8	10_sources
8	96	17	0.17708333333333334	$\alpha$=0.05	8.0	data_8	10_sources
9	108	17	0.1574074074074074	$\alpha$=0.05	9.0	data_8	10_sources
10	120	18	0.15	$\alpha$=0.05	10.0	data_8	10_sources
11	180	27	0.15	$\alpha$=0.05	15.0	data_8	10_sources
12	241	37	0.15352697095435686	$\alpha$=0.05	20.0	data_8	10_sources
13	603	87	0.14427860696517414	$\alpha$=0.05	50.0	data_8	10_sources
14	904	105	0.1161504424778761	$\alpha$=0.05	75.0	data_8	10_sources
15	1206	129	0.10696517412935323	$\alpha$=0.05	100.0	data_8	10_sources
0	5	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_8	10_sources
1	11	1	0.09090909090909091	$\alpha$=0.05 (BH-adj)	1.0	data_8	10_sources
2	22	3	0.13636363636363635	$\alpha$=0.05 (BH-adj)	2.0	data_8	10_sources
3	34	5	0.14705882352941177	$\alpha$=0.05 (BH-adj)	3.0	data_8	10_sources
4	45	9	0.2	$\alpha$=0.05 (BH-adj)	4.0	data_8	10_sources
5	57	11	0.19298245614035087	$\alpha$=0.05 (BH-adj)	5.0	data_8	10_sources
6	68	15	0.22058823529411764	$\alpha$=0.05 (BH-adj)	6.0	data_8	10_sources
7	79	15	0.189873417721519	$\alpha$=0.05 (BH-adj)	7.0	data_8	10_sources
8	91	16	0.17582417582417584	$\alpha$=0.05 (BH-adj)	8.0	data_8	10_sources
9	102	17	0.16666666666666666	$\alpha$=0.05 (BH-adj)	9.0	data_8	10_sources
10	114	17	0.14912280701754385	$\alpha$=0.05 (BH-adj)	10.0	data_8	10_sources
11	171	27	0.15789473684210525	$\alpha$=0.05 (BH-adj)	15.0	data_8	10_sources
12	228	35	0.15350877192982457	$\alpha$=0.05 (BH-adj)	20.0	data_8	10_sources
13	570	83	0.1456140350877193	$\alpha$=0.05 (BH-adj)	50.0	data_8	10_sources
14	855	102	0.11929824561403508	$\alpha$=0.05 (BH-adj)	75.0	data_8	10_sources
15	1141	125	0.10955302366345311	$\alpha$=0.05 (BH-adj)	100.0	data_8	10_sources
0	8	0	0.0	unfiltered	0.5	data_8	10_sources
1	16	2	0.125	unfiltered	1.0	data_8	10_sources
2	33	4	0.12121212121212122	unfiltered	2.0	data_8	10_sources
3	50	10	0.2	unfiltered	3.0	data_8	10_sources
4	67	14	0.208955223880597	unfiltered	4.0	data_8	10_sources
5	84	16	0.19047619047619047	unfiltered	5.0	data_8	10_sources
6	101	17	0.16831683168316833	unfiltered	6.0	data_8	10_sources
7	118	18	0.15254237288135594	unfiltered	7.0	data_8	10_sources
8	135	20	0.14814814814814814	unfiltered	8.0	data_8	10_sources
9	152	24	0.15789473684210525	unfiltered	9.0	data_8	10_sources
10	169	27	0.15976331360946747	unfiltered	10.0	data_8	10_sources
11	253	40	0.15810276679841898	unfiltered	15.0	data_8	10_sources
12	338	51	0.15088757396449703	unfiltered	20.0	data_8	10_sources
13	845	102	0.12071005917159763	unfiltered	50.0	data_8	10_sources
14	1267	130	0.1026045777426993	unfiltered	75.0	data_8	10_sources
15	1690	162	0.09585798816568047	unfiltered	100.0	data_8	10_sources
0	5	1	0.2	$\alpha$=0.05	0.5	data_9	10_sources
1	11	4	0.36363636363636365	$\alpha$=0.05	1.0	data_9	10_sources
2	23	8	0.34782608695652173	$\alpha$=0.05	2.0	data_9	10_sources
3	35	12	0.34285714285714286	$\alpha$=0.05	3.0	data_9	10_sources
4	47	15	0.3191489361702128	$\alpha$=0.05	4.0	data_9	10_sources
5	59	19	0.3220338983050847	$\alpha$=0.05	5.0	data_9	10_sources
6	71	22	0.30985915492957744	$\alpha$=0.05	6.0	data_9	10_sources
7	83	24	0.2891566265060241	$\alpha$=0.05	7.0	data_9	10_sources
8	95	27	0.28421052631578947	$\alpha$=0.05	8.0	data_9	10_sources
9	107	32	0.29906542056074764	$\alpha$=0.05	9.0	data_9	10_sources
10	119	35	0.29411764705882354	$\alpha$=0.05	10.0	data_9	10_sources
11	179	48	0.2681564245810056	$\alpha$=0.05	15.0	data_9	10_sources
12	239	65	0.2719665271966527	$\alpha$=0.05	20.0	data_9	10_sources
13	597	103	0.17252931323283083	$\alpha$=0.05	50.0	data_9	10_sources
14	896	124	0.13839285714285715	$\alpha$=0.05	75.0	data_9	10_sources
15	1195	144	0.1205020920502092	$\alpha$=0.05	100.0	data_9	10_sources
0	5	1	0.2	$\alpha$=0.05 (BH-adj)	0.5	data_9	10_sources
1	11	4	0.36363636363636365	$\alpha$=0.05 (BH-adj)	1.0	data_9	10_sources
2	22	8	0.36363636363636365	$\alpha$=0.05 (BH-adj)	2.0	data_9	10_sources
3	33	11	0.3333333333333333	$\alpha$=0.05 (BH-adj)	3.0	data_9	10_sources
4	44	14	0.3181818181818182	$\alpha$=0.05 (BH-adj)	4.0	data_9	10_sources
5	55	18	0.32727272727272727	$\alpha$=0.05 (BH-adj)	5.0	data_9	10_sources
6	66	22	0.3333333333333333	$\alpha$=0.05 (BH-adj)	6.0	data_9	10_sources
7	77	24	0.3116883116883117	$\alpha$=0.05 (BH-adj)	7.0	data_9	10_sources
8	88	26	0.29545454545454547	$\alpha$=0.05 (BH-adj)	8.0	data_9	10_sources
9	99	28	0.2828282828282828	$\alpha$=0.05 (BH-adj)	9.0	data_9	10_sources
10	110	32	0.2909090909090909	$\alpha$=0.05 (BH-adj)	10.0	data_9	10_sources
11	165	46	0.2787878787878788	$\alpha$=0.05 (BH-adj)	15.0	data_9	10_sources
12	220	58	0.2636363636363636	$\alpha$=0.05 (BH-adj)	20.0	data_9	10_sources
13	551	101	0.18330308529945555	$\alpha$=0.05 (BH-adj)	50.0	data_9	10_sources
14	826	121	0.14648910411622276	$\alpha$=0.05 (BH-adj)	75.0	data_9	10_sources
15	1102	138	0.12522686025408347	$\alpha$=0.05 (BH-adj)	100.0	data_9	10_sources
0	8	3	0.375	unfiltered	0.5	data_9	10_sources
1	17	8	0.47058823529411764	unfiltered	1.0	data_9	10_sources
2	35	12	0.34285714285714286	unfiltered	2.0	data_9	10_sources
3	53	18	0.33962264150943394	unfiltered	3.0	data_9	10_sources
4	71	22	0.30985915492957744	unfiltered	4.0	data_9	10_sources
5	89	26	0.29213483146067415	unfiltered	5.0	data_9	10_sources
6	107	32	0.29906542056074764	unfiltered	6.0	data_9	10_sources
7	125	36	0.288	unfiltered	7.0	data_9	10_sources
8	143	40	0.27972027972027974	unfiltered	8.0	data_9	10_sources
9	161	45	0.2795031055900621	unfiltered	9.0	data_9	10_sources
10	179	48	0.2681564245810056	unfiltered	10.0	data_9	10_sources
11	268	67	0.25	unfiltered	15.0	data_9	10_sources
12	358	82	0.22905027932960895	unfiltered	20.0	data_9	10_sources
13	895	124	0.13854748603351955	unfiltered	50.0	data_9	10_sources
14	1343	160	0.11913626209977662	unfiltered	75.0	data_9	10_sources
15	1791	185	0.10329424902289223	unfiltered	100.0	data_9	10_sources
0	19	0	0.0	$\alpha$=0.05	0.5	data_0	20_sources
1	39	2	0.05128205128205128	$\alpha$=0.05	1.0	data_0	20_sources
2	79	5	0.06329113924050633	$\alpha$=0.05	2.0	data_0	20_sources
3	119	15	0.12605042016806722	$\alpha$=0.05	3.0	data_0	20_sources
4	159	18	0.11320754716981132	$\alpha$=0.05	4.0	data_0	20_sources
5	198	23	0.11616161616161616	$\alpha$=0.05	5.0	data_0	20_sources
6	238	25	0.10504201680672269	$\alpha$=0.05	6.0	data_0	20_sources
7	278	31	0.11151079136690648	$\alpha$=0.05	7.0	data_0	20_sources
8	318	35	0.11006289308176101	$\alpha$=0.05	8.0	data_0	20_sources
9	357	38	0.10644257703081232	$\alpha$=0.05	9.0	data_0	20_sources
10	397	43	0.10831234256926953	$\alpha$=0.05	10.0	data_0	20_sources
11	596	58	0.09731543624161074	$\alpha$=0.05	15.0	data_0	20_sources
12	795	70	0.0880503144654088	$\alpha$=0.05	20.0	data_0	20_sources
13	1987	152	0.07649723200805233	$\alpha$=0.05	50.0	data_0	20_sources
14	2981	186	0.062395169406239515	$\alpha$=0.05	75.0	data_0	20_sources
15	3975	220	0.055345911949685536	$\alpha$=0.05	100.0	data_0	20_sources
0	18	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_0	20_sources
1	36	1	0.027777777777777776	$\alpha$=0.05 (BH-adj)	1.0	data_0	20_sources
2	72	4	0.05555555555555555	$\alpha$=0.05 (BH-adj)	2.0	data_0	20_sources
3	108	14	0.12962962962962962	$\alpha$=0.05 (BH-adj)	3.0	data_0	20_sources
4	144	16	0.1111111111111111	$\alpha$=0.05 (BH-adj)	4.0	data_0	20_sources
5	180	22	0.12222222222222222	$\alpha$=0.05 (BH-adj)	5.0	data_0	20_sources
6	217	25	0.1152073732718894	$\alpha$=0.05 (BH-adj)	6.0	data_0	20_sources
7	253	26	0.10276679841897234	$\alpha$=0.05 (BH-adj)	7.0	data_0	20_sources
8	289	31	0.10726643598615918	$\alpha$=0.05 (BH-adj)	8.0	data_0	20_sources
9	325	35	0.1076923076923077	$\alpha$=0.05 (BH-adj)	9.0	data_0	20_sources
10	361	39	0.10803324099722991	$\alpha$=0.05 (BH-adj)	10.0	data_0	20_sources
11	542	52	0.0959409594095941	$\alpha$=0.05 (BH-adj)	15.0	data_0	20_sources
12	723	68	0.09405255878284924	$\alpha$=0.05 (BH-adj)	20.0	data_0	20_sources
13	1809	147	0.0812603648424544	$\alpha$=0.05 (BH-adj)	50.0	data_0	20_sources
14	2714	176	0.06484893146647015	$\alpha$=0.05 (BH-adj)	75.0	data_0	20_sources
15	3619	209	0.057750759878419454	$\alpha$=0.05 (BH-adj)	100.0	data_0	20_sources
0	29	0	0.0	unfiltered	0.5	data_0	20_sources
1	59	2	0.03389830508474576	unfiltered	1.0	data_0	20_sources
2	119	15	0.12605042016806722	unfiltered	2.0	data_0	20_sources
3	179	22	0.12290502793296089	unfiltered	3.0	data_0	20_sources
4	239	25	0.10460251046025104	unfiltered	4.0	data_0	20_sources
5	298	32	0.10738255033557047	unfiltered	5.0	data_0	20_sources
6	358	39	0.10893854748603352	unfiltered	6.0	data_0	20_sources
7	418	45	0.1076555023923445	unfiltered	7.0	data_0	20_sources
8	478	48	0.100418410041841	unfiltered	8.0	data_0	20_sources
9	538	52	0.09665427509293681	unfiltered	9.0	data_0	20_sources
10	597	58	0.09715242881072027	unfiltered	10.0	data_0	20_sources
11	896	82	0.09151785714285714	unfiltered	15.0	data_0	20_sources
12	1195	98	0.08200836820083682	unfiltered	20.0	data_0	20_sources
13	2989	187	0.0625627300100368	unfiltered	50.0	data_0	20_sources
14	4483	247	0.05509703323667187	unfiltered	75.0	data_0	20_sources
15	5978	296	0.04951488792238207	unfiltered	100.0	data_0	20_sources
0	15	2	0.13333333333333333	$\alpha$=0.05	0.5	data_1	20_sources
1	30	3	0.1	$\alpha$=0.05	1.0	data_1	20_sources
2	60	7	0.11666666666666667	$\alpha$=0.05	2.0	data_1	20_sources
3	91	12	0.13186813186813187	$\alpha$=0.05	3.0	data_1	20_sources
4	121	15	0.12396694214876033	$\alpha$=0.05	4.0	data_1	20_sources
5	151	21	0.1390728476821192	$\alpha$=0.05	5.0	data_1	20_sources
6	182	26	0.14285714285714285	$\alpha$=0.05	6.0	data_1	20_sources
7	212	26	0.12264150943396226	$\alpha$=0.05	7.0	data_1	20_sources
8	243	31	0.12757201646090535	$\alpha$=0.05	8.0	data_1	20_sources
9	273	32	0.11721611721611722	$\alpha$=0.05	9.0	data_1	20_sources
10	303	36	0.1188118811881188	$\alpha$=0.05	10.0	data_1	20_sources
11	455	47	0.10329670329670329	$\alpha$=0.05	15.0	data_1	20_sources
12	607	59	0.09719934102141681	$\alpha$=0.05	20.0	data_1	20_sources
13	1519	115	0.07570770243581304	$\alpha$=0.05	50.0	data_1	20_sources
14	2278	141	0.06189640035118525	$\alpha$=0.05	75.0	data_1	20_sources
15	3038	172	0.05661619486504279	$\alpha$=0.05	100.0	data_1	20_sources
0	12	2	0.16666666666666666	$\alpha$=0.05 (BH-adj)	0.5	data_1	20_sources
1	25	3	0.12	$\alpha$=0.05 (BH-adj)	1.0	data_1	20_sources
2	50	6	0.12	$\alpha$=0.05 (BH-adj)	2.0	data_1	20_sources
3	76	9	0.11842105263157894	$\alpha$=0.05 (BH-adj)	3.0	data_1	20_sources
4	101	12	0.1188118811881188	$\alpha$=0.05 (BH-adj)	4.0	data_1	20_sources
5	127	15	0.11811023622047244	$\alpha$=0.05 (BH-adj)	5.0	data_1	20_sources
6	152	21	0.13815789473684212	$\alpha$=0.05 (BH-adj)	6.0	data_1	20_sources
7	178	26	0.14606741573033707	$\alpha$=0.05 (BH-adj)	7.0	data_1	20_sources
8	203	26	0.12807881773399016	$\alpha$=0.05 (BH-adj)	8.0	data_1	20_sources
9	228	29	0.12719298245614036	$\alpha$=0.05 (BH-adj)	9.0	data_1	20_sources
10	254	31	0.1220472440944882	$\alpha$=0.05 (BH-adj)	10.0	data_1	20_sources
11	381	45	0.11811023622047244	$\alpha$=0.05 (BH-adj)	15.0	data_1	20_sources
12	508	51	0.10039370078740158	$\alpha$=0.05 (BH-adj)	20.0	data_1	20_sources
13	1271	107	0.08418568056648308	$\alpha$=0.05 (BH-adj)	50.0	data_1	20_sources
14	1907	129	0.06764551651809124	$\alpha$=0.05 (BH-adj)	75.0	data_1	20_sources
15	2543	149	0.05859221392056626	$\alpha$=0.05 (BH-adj)	100.0	data_1	20_sources
0	25	3	0.12	unfiltered	0.5	data_1	20_sources
1	51	7	0.13725490196078433	unfiltered	1.0	data_1	20_sources
2	103	13	0.1262135922330097	unfiltered	2.0	data_1	20_sources
3	155	21	0.13548387096774195	unfiltered	3.0	data_1	20_sources
4	207	26	0.12560386473429952	unfiltered	4.0	data_1	20_sources
5	258	31	0.12015503875968993	unfiltered	5.0	data_1	20_sources
6	310	37	0.11935483870967742	unfiltered	6.0	data_1	20_sources
7	362	42	0.11602209944751381	unfiltered	7.0	data_1	20_sources
8	414	45	0.10869565217391304	unfiltered	8.0	data_1	20_sources
9	466	48	0.10300429184549356	unfiltered	9.0	data_1	20_sources
10	517	51	0.09864603481624758	unfiltered	10.0	data_1	20_sources
11	776	70	0.09020618556701031	unfiltered	15.0	data_1	20_sources
12	1035	91	0.08792270531400966	unfiltered	20.0	data_1	20_sources
13	2589	149	0.05755117806102742	unfiltered	50.0	data_1	20_sources
14	3884	209	0.05381050463439753	unfiltered	75.0	data_1	20_sources
15	5179	240	0.04634099246958873	unfiltered	100.0	data_1	20_sources
0	15	3	0.2	$\alpha$=0.05	0.5	data_2	20_sources
1	30	6	0.2	$\alpha$=0.05	1.0	data_2	20_sources
2	60	13	0.21666666666666667	$\alpha$=0.05	2.0	data_2	20_sources
3	90	17	0.18888888888888888	$\alpha$=0.05	3.0	data_2	20_sources
4	121	21	0.17355371900826447	$\alpha$=0.05	4.0	data_2	20_sources
5	151	23	0.152317880794702	$\alpha$=0.05	5.0	data_2	20_sources
6	181	27	0.14917127071823205	$\alpha$=0.05	6.0	data_2	20_sources
7	211	32	0.15165876777251186	$\alpha$=0.05	7.0	data_2	20_sources
8	242	33	0.13636363636363635	$\alpha$=0.05	8.0	data_2	20_sources
9	272	33	0.1213235294117647	$\alpha$=0.05	9.0	data_2	20_sources
10	302	34	0.11258278145695365	$\alpha$=0.05	10.0	data_2	20_sources
11	454	44	0.09691629955947137	$\alpha$=0.05	15.0	data_2	20_sources
12	605	54	0.08925619834710743	$\alpha$=0.05	20.0	data_2	20_sources
13	1513	95	0.06278916060806344	$\alpha$=0.05	50.0	data_2	20_sources
14	2270	147	0.06475770925110132	$\alpha$=0.05	75.0	data_2	20_sources
15	3027	188	0.06210769739015527	$\alpha$=0.05	100.0	data_2	20_sources
0	10	2	0.2	$\alpha$=0.05 (BH-adj)	0.5	data_2	20_sources
1	20	3	0.15	$\alpha$=0.05 (BH-adj)	1.0	data_2	20_sources
2	41	7	0.17073170731707318	$\alpha$=0.05 (BH-adj)	2.0	data_2	20_sources
3	62	13	0.20967741935483872	$\alpha$=0.05 (BH-adj)	3.0	data_2	20_sources
4	83	16	0.1927710843373494	$\alpha$=0.05 (BH-adj)	4.0	data_2	20_sources
