dataset,num_permutations,grn1_id,grn2_id,mode,alpha,num_clusters,metric,score
nk_cells,1000,-1,6,raw,0.05,100,precision,0.8061038961038961
nk_cells,1000,-1,6,raw,0.05,100,recall,0.8034951456310679
nk_cells,1000,-1,6,raw,0.05,100,f1,0.8047974068071313
nk_cells,1000,-1,6,bh,-1.0,100,mae,0.024681690580176052
nk_cells,1000,-1,6,bh,0.01,100,precision,0.0
nk_cells,1000,-1,6,bh,0.01,100,recall,0.0
nk_cells,1000,-1,6,bh,0.01,100,f1,0.0
nk_cells,1000,-1,6,bh,0.05,100,precision,0.0
nk_cells,1000,-1,6,bh,0.05,100,recall,0.0
nk_cells,1000,-1,6,bh,0.05,100,f1,0.0
nk_cells,1000,-1,7,raw,-1.0,100,mae,0.05160913714724192
nk_cells,1000,-1,7,raw,0.01,100,precision,0.6878001921229587
nk_cells,1000,-1,7,raw,0.01,100,recall,0.6623496762257169
nk_cells,1000,-1,7,raw,0.01,100,f1,0.6748350612629594
nk_cells,1000,-1,7,raw,0.05,100,precision,0.8161038961038961
nk_cells,1000,-1,7,raw,0.05,100,recall,0.8072970195272353
nk_cells,1000,-1,7,raw,0.05,100,f1,0.811676569361922
nk_cells,1000,-1,7,bh,-1.0,100,mae,0.02460385098686875
nk_cells,1000,-1,7,bh,0.01,100,precision,0.0
nk_cells,1000,-1,7,bh,0.01,100,recall,0.0
nk_cells,1000,-1,7,bh,0.01,100,f1,0.0
nk_cells,1000,-1,7,bh,0.05,100,precision,0.0
nk_cells,1000,-1,7,bh,0.05,100,recall,0.0
nk_cells,1000,-1,7,bh,0.05,100,f1,0.0
nk_cells,1000,-1,8,raw,-1.0,100,mae,0.049800099763207185
nk_cells,1000,-1,8,raw,0.01,100,precision,0.6801152737752162
nk_cells,1000,-1,8,raw,0.01,100,recall,0.6366906474820144
nk_cells,1000,-1,8,raw,0.01,100,f1,0.6576869484440316
nk_cells,1000,-1,8,raw,0.05,100,precision,0.7977922077922078
nk_cells,1000,-1,8,raw,0.05,100,recall,0.8029015814926154
nk_cells,1000,-1,8,raw,0.05,100,f1,0.8003387401472217
nk_cells,1000,-1,8,bh,-1.0,100,mae,0.024241083203831896
nk_cells,1000,-1,8,bh,0.01,100,precision,0.0
nk_cells,1000,-1,8,bh,0.01,100,recall,0.0
nk_cells,1000,-1,8,bh,0.01,100,f1,0.0
nk_cells,1000,-1,8,bh,0.05,100,precision,0.0
nk_cells,1000,-1,8,bh,0.05,100,recall,0.0
nk_cells,1000,-1,8,bh,0.05,100,f1,0.0
nk_cells,1000,-1,9,raw,-1.0,100,mae,0.052578311327125496
nk_cells,1000,-1,9,raw,0.01,100,precision,0.6719500480307397
nk_cells,1000,-1,9,raw,0.01,100,recall,0.6141352063213346
nk_cells,1000,-1,9,raw,0.01,100,f1,0.6417431192660551
nk_cells,1000,-1,9,raw,0.05,100,precision,0.8023376623376623
nk_cells,1000,-1,9,raw,0.05,100,recall,0.7872069317023446
nk_cells,1000,-1,9,raw,0.05,100,f1,0.7947002829945974
nk_cells,1000,-1,9,bh,-1.0,100,mae,0.025624552202840097
nk_cells,1000,-1,9,bh,0.01,100,precision,0.0
nk_cells,1000,-1,9,bh,0.01,100,recall,0.0
nk_cells,1000,-1,9,bh,0.01,100,f1,0.0
nk_cells,1000,-1,9,bh,0.05,100,precision,0.0
nk_cells,1000,-1,9,bh,0.05,100,recall,0.0
nk_cells,1000,-1,9,bh,0.05,100,f1,0.0
nk_cells,1000,0,1,raw,-1.0,100,mae,0.051313909554133015
nk_cells,1000,0,1,raw,0.01,100,precision,0.6614349775784754
nk_cells,1000,0,1,raw,0.01,100,recall,0.6376999567661046
nk_cells,1000,0,1,raw,0.01,100,f1,0.6493506493506493
nk_cells,1000,0,1,raw,0.05,100,precision,0.7984229937682819
nk_cells,1000,0,1,raw,0.05,100,recall,0.7901825047199497
nk_cells,1000,0,1,raw,0.05,100,f1,0.7942813765182186
nk_cells,1000,0,1,bh,-1.0,100,mae,0.02582241220940564
nk_cells,1000,0,1,bh,0.01,100,precision,0.0
nk_cells,1000,0,1,bh,0.01,100,recall,0.0
nk_cells,1000,0,1,bh,0.01,100,f1,0.0
nk_cells,1000,0,1,bh,0.05,100,precision,0.0
nk_cells,1000,0,1,bh,0.05,100,recall,0.0
nk_cells,1000,0,1,bh,0.05,100,f1,0.0
nk_cells,1000,0,2,raw,-1.0,100,mae,0.05389808884064181
nk_cells,1000,0,2,raw,0.01,100,precision,0.6260089686098654
nk_cells,1000,0,2,raw,0.01,100,recall,0.6523364485981309
nk_cells,1000,0,2,raw,0.01,100,f1,0.6389016018306636
nk_cells,1000,0,2,raw,0.05,100,precision,0.7897748950782144
nk_cells,1000,0,2,raw,0.05,100,recall,0.7979953739398612
nk_cells,1000,0,2,raw,0.05,100,f1,0.7938638542665388
nk_cells,1000,0,2,bh,-1.0,100,mae,0.026247269136695978
nk_cells,1000,0,2,bh,0.01,100,precision,0.0
nk_cells,1000,0,2,bh,0.01,100,recall,0.0
nk_cells,1000,0,2,bh,0.01,100,f1,0.0
nk_cells,1000,0,2,bh,0.05,100,precision,0.0
nk_cells,1000,0,2,bh,0.05,100,recall,0.0
nk_cells,1000,0,2,bh,0.05,100,f1,0.0
nk_cells,1000,0,3,raw,-1.0,100,mae,0.05290316829791901
nk_cells,1000,0,3,raw,0.01,100,precision,0.6556053811659193
nk_cells,1000,0,3,raw,0.01,100,recall,0.7079903147699758
nk_cells,1000,0,3,raw,0.01,100,f1,0.6807916181606519
nk_cells,1000,0,3,raw,0.05,100,precision,0.7913010301411675
nk_cells,1000,0,3,raw,0.05,100,recall,0.8200869909054962
nk_cells,1000,0,3,raw,0.05,100,f1,0.8054368932038835
nk_cells,1000,0,3,bh,-1.0,100,mae,0.025189254634435068
nk_cells,1000,0,3,bh,0.01,100,precision,0.0
nk_cells,1000,0,3,bh,0.01,100,recall,0.0
nk_cells,1000,0,3,bh,0.01,100,f1,0.0
nk_cells,1000,0,3,bh,0.05,100,precision,0.0
nk_cells,1000,0,3,bh,0.05,100,recall,0.0
nk_cells,1000,0,3,bh,0.05,100,f1,0.0
nk_cells,1000,0,4,raw,-1.0,100,mae,0.04874669706808423
nk_cells,1000,0,4,raw,0.01,100,precision,0.6582959641255606
nk_cells,1000,0,4,raw,0.01,100,recall,0.661559260928346
nk_cells,1000,0,4,raw,0.01,100,f1,0.6599235783322095
nk_cells,1000,0,4,raw,0.05,100,precision,0.7975327483148925
nk_cells,1000,0,4,raw,0.05,100,recall,0.8101020539981915
nk_cells,1000,0,4,raw,0.05,100,f1,0.8037682645475519
nk_cells,1000,0,4,bh,-1.0,100,mae,0.024108335621212937
nk_cells,1000,0,4,bh,0.01,100,precision,0.0
nk_cells,1000,0,4,bh,0.01,100,recall,0.0
nk_cells,1000,0,4,bh,0.01,100,f1,0.0
nk_cells,1000,0,4,bh,0.05,100,precision,0.0
nk_cells,1000,0,4,bh,0.05,100,recall,0.0
nk_cells,1000,0,4,bh,0.05,100,f1,0.0
nk_cells,1000,0,5,raw,-1.0,100,mae,0.0524464336127665
nk_cells,1000,0,5,raw,0.01,100,precision,0.6282511210762332
nk_cells,1000,0,5,raw,0.01,100,recall,0.6696940726577438
nk_cells,1000,0,5,raw,0.01,100,f1,0.6483109671448404
nk_cells,1000,0,5,raw,0.05,100,precision,0.8008393742846242
nk_cells,1000,0,5,raw,0.05,100,recall,0.8084478110155348
nk_cells,1000,0,5,raw,0.05,100,f1,0.8046256069511883
nk_cells,1000,0,5,bh,-1.0,100,mae,0.025841062067449024
nk_cells,1000,0,5,bh,0.01,100,precision,0.0
nk_cells,1000,0,5,bh,0.01,100,recall,0.0
nk_cells,1000,0,5,bh,0.01,100,f1,0.0
nk_cells,1000,0,5,bh,0.05,100,precision,0.0
nk_cells,1000,0,5,bh,0.05,100,recall,0.0
nk_cells,1000,0,5,bh,0.05,100,f1,0.0
nk_cells,1000,0,6,raw,-1.0,100,mae,0.04842449897525264
nk_cells,1000,0,6,raw,0.01,100,precision,0.6439461883408072
nk_cells,1000,0,6,raw,0.01,100,recall,0.6660482374768089
nk_cells,1000,0,6,raw,0.01,100,f1,0.6548107615139079
nk_cells,1000,0,6,raw,0.05,100,precision,0.7981686379244564
nk_cells,1000,0,6,raw,0.05,100,recall,0.8124271844660195
nk_cells,1000,0,6,raw,0.05,100,f1,0.8052347959969207
nk_cells,1000,0,6,bh,-1.0,100,mae,0.024045151010871277
nk_cells,1000,0,6,bh,0.01,100,precision,0.0
nk_cells,1000,0,6,bh,0.01,100,recall,0.0
nk_cells,1000,0,6,bh,0.01,100,f1,0.0
nk_cells,1000,0,6,bh,0.05,100,precision,0.0
nk_cells,1000,0,6,bh,0.05,100,recall,0.0
nk_cells,1000,0,6,bh,0.05,100,f1,0.0
nk_cells,1000,0,7,raw,-1.0,100,mae,0.050110701462551366
nk_cells,1000,0,7,raw,0.01,100,precision,0.6596412556053811
nk_cells,1000,0,7,raw,0.01,100,recall,0.6803885291396855
nk_cells,1000,0,7,raw,0.01,100,f1,0.6698542805100182
nk_cells,1000,0,7,raw,0.05,100,precision,0.801983975581839
nk_cells,1000,0,7,raw,0.05,100,recall,0.8101233299075026
nk_cells,1000,0,7,raw,0.05,100,f1,0.8060331053876142
nk_cells,1000,0,7,bh,-1.0,100,mae,0.02440779219378682
nk_cells,1000,0,7,bh,0.01,100,precision,0.0
nk_cells,1000,0,7,bh,0.01,100,recall,0.0
nk_cells,1000,0,7,bh,0.01,100,f1,0.0
nk_cells,1000,0,7,bh,0.05,100,precision,0.0
nk_cells,1000,0,7,bh,0.05,100,recall,0.0
nk_cells,1000,0,7,bh,0.05,100,f1,0.0
nk_cells,1000,0,8,raw,-1.0,100,mae,0.04796453941336414
nk_cells,1000,0,8,raw,0.01,100,precision,0.6309417040358745
nk_cells,1000,0,8,raw,0.01,100,recall,0.6326438848920863
nk_cells,1000,0,8,raw,0.01,100,f1,0.6317916479568927
nk_cells,1000,0,8,raw,0.05,100,precision,0.7836703548264021
nk_cells,1000,0,8,raw,0.05,100,recall,0.8053849170043131
nk_cells,1000,0,8,raw,0.05,100,f1,0.7943792703364703
nk_cells,1000,0,8,bh,-1.0,100,mae,0.024428808817397243
nk_cells,1000,0,8,bh,0.01,100,precision,0.0
nk_cells,1000,0,8,bh,0.01,100,recall,0.0
nk_cells,1000,0,8,bh,0.01,100,f1,0.0
nk_cells,1000,0,8,bh,0.05,100,precision,0.0
nk_cells,1000,0,8,bh,0.05,100,recall,0.0
nk_cells,1000,0,8,bh,0.05,100,f1,0.0
nk_cells,1000,0,9,raw,-1.0,100,mae,0.05217733410260025
nk_cells,1000,0,9,raw,0.01,100,precision,0.6538116591928251
nk_cells,1000,0,9,raw,0.01,100,recall,0.6400351185250219
nk_cells,1000,0,9,raw,0.01,100,f1,0.6468500443655724
nk_cells,1000,0,9,raw,0.05,100,precision,0.7981686379244564
nk_cells,1000,0,9,raw,0.05,100,recall,0.7996941896024465
nk_cells,1000,0,9,raw,0.05,100,f1,0.7989306855069697
nk_cells,1000,0,9,bh,-1.0,100,mae,0.02584935534202624
nk_cells,1000,0,9,bh,0.01,100,precision,0.0
nk_cells,1000,0,9,bh,0.01,100,recall,0.0
nk_cells,1000,0,9,bh,0.01,100,f1,0.0
nk_cells,1000,0,9,bh,0.05,100,precision,0.0
nk_cells,1000,0,9,bh,0.05,100,recall,0.0
nk_cells,1000,0,9,bh,0.05,100,f1,0.0
nk_cells,1000,1,2,raw,-1.0,100,mae,0.05032156891279903
nk_cells,1000,1,2,raw,0.01,100,precision,0.6247297881539127
nk_cells,1000,1,2,raw,0.01,100,recall,0.6752336448598131
nk_cells,1000,1,2,raw,0.01,100,f1,0.6490006737031215
nk_cells,1000,1,2,raw,0.05,100,precision,0.8008810572687225
nk_cells,1000,1,2,raw,0.05,100,recall,0.8176561295296839
nk_cells,1000,1,2,raw,0.05,100,f1,0.8091816621097475
nk_cells,1000,1,2,bh,-1.0,100,mae,0.02574082454361708
nk_cells,1000,1,2,bh,0.01,100,precision,0.0
nk_cells,1000,1,2,bh,0.01,100,recall,0.0
nk_cells,1000,1,2,bh,0.01,100,f1,0.0
nk_cells,1000,1,2,bh,0.05,100,precision,0.0
nk_cells,1000,1,2,bh,0.05,100,recall,0.0
nk_cells,1000,1,2,bh,0.05,100,f1,0.0
nk_cells,1000,1,3,raw,-1.0,100,mae,0.050373140615050604
nk_cells,1000,1,3,raw,0.01,100,precision,0.6281884997838305
nk_cells,1000,1,3,raw,0.01,100,recall,0.7036319612590799
nk_cells,1000,1,3,raw,0.01,100,f1,0.6637734125171311
nk_cells,1000,1,3,raw,0.05,100,precision,0.7880427942101951
nk_cells,1000,1,3,raw,0.05,100,recall,0.8252273625939106
nk_cells,1000,1,3,raw,0.05,100,f1,0.80620654133402
nk_cells,1000,1,3,bh,-1.0,100,mae,0.025653410863990308
nk_cells,1000,1,3,bh,0.01,100,precision,0.0
nk_cells,1000,1,3,bh,0.01,100,recall,0.0
nk_cells,1000,1,3,bh,0.01,100,f1,0.0
nk_cells,1000,1,3,bh,0.05,100,precision,0.0
nk_cells,1000,1,3,bh,0.05,100,recall,0.0
nk_cells,1000,1,3,bh,0.05,100,f1,0.0
nk_cells,1000,1,4,raw,-1.0,100,mae,0.05254716823178931
nk_cells,1000,1,4,raw,0.01,100,precision,0.6039775183744055
nk_cells,1000,1,4,raw,0.01,100,recall,0.629562866155926
nk_cells,1000,1,4,raw,0.01,100,f1,0.616504854368932
nk_cells,1000,1,4,raw,0.05,100,precision,0.770547514159849
nk_cells,1000,1,4,raw,0.05,100,recall,0.7908538948456272
nk_cells,1000,1,4,raw,0.05,100,f1,0.7805686599515491
nk_cells,1000,1,4,bh,-1.0,100,mae,0.026933870455469456
nk_cells,1000,1,4,bh,0.01,100,precision,0.0
nk_cells,1000,1,4,bh,0.01,100,recall,0.0
nk_cells,1000,1,4,bh,0.01,100,f1,0.0
nk_cells,1000,1,4,bh,0.05,100,precision,0.0
nk_cells,1000,1,4,bh,0.05,100,recall,0.0
nk_cells,1000,1,4,bh,0.05,100,f1,0.0
nk_cells,1000,1,5,raw,-1.0,100,mae,0.05208886717793643
nk_cells,1000,1,5,raw,0.01,100,precision,0.6230004323389537
nk_cells,1000,1,5,raw,0.01,100,recall,0.6888145315487572
nk_cells,1000,1,5,raw,0.01,100,f1,0.6542565266742338
nk_cells,1000,1,5,raw,0.05,100,precision,0.7948395217117684
nk_cells,1000,1,5,raw,0.05,100,recall,0.8107587623571704
nk_cells,1000,1,5,raw,0.05,100,f1,0.8027202237193339
nk_cells,1000,1,5,bh,-1.0,100,mae,0.02584696481004415
nk_cells,1000,1,5,bh,0.01,100,precision,0.0
nk_cells,1000,1,5,bh,0.01,100,recall,0.0
nk_cells,1000,1,5,bh,0.01,100,f1,0.0
nk_cells,1000,1,5,bh,0.05,100,precision,0.0
nk_cells,1000,1,5,bh,0.05,100,recall,0.0
nk_cells,1000,1,5,bh,0.05,100,f1,0.0
nk_cells,1000,1,6,raw,-1.0,100,mae,0.0502252569818713
nk_cells,1000,1,6,raw,0.01,100,precision,0.6160830090791181
nk_cells,1000,1,6,raw,0.01,100,recall,0.6609461966604824
nk_cells,1000,1,6,raw,0.01,100,f1,0.6377265607518461
nk_cells,1000,1,6,raw,0.05,100,precision,0.7881686595342983
nk_cells,1000,1,6,raw,0.05,100,recall,0.8106148867313916
nk_cells,1000,1,6,raw,0.05,100,f1,0.799234205488194
nk_cells,1000,1,6,bh,-1.0,100,mae,0.025941115229153027
nk_cells,1000,1,6,bh,0.01,100,precision,0.0
nk_cells,1000,1,6,bh,0.01,100,recall,0.0
nk_cells,1000,1,6,bh,0.01,100,f1,0.0
nk_cells,1000,1,6,bh,0.05,100,precision,0.0
nk_cells,1000,1,6,bh,0.05,100,recall,0.0
nk_cells,1000,1,6,bh,0.05,100,f1,0.0
nk_cells,1000,1,7,raw,-1.0,100,mae,0.04868352897234525
nk_cells,1000,1,7,raw,0.01,100,precision,0.6255944660613921
nk_cells,1000,1,7,raw,0.01,100,recall,0.6692876965772433
nk_cells,1000,1,7,raw,0.01,100,f1,0.6467039106145251
nk_cells,1000,1,7,raw,0.05,100,precision,0.7984896161107615
nk_cells,1000,1,7,raw,0.05,100,recall,0.8150051387461459
nk_cells,1000,1,7,raw,0.05,100,f1,0.8066628520567105
nk_cells,1000,1,7,bh,-1.0,100,mae,0.024867009807159807
nk_cells,1000,1,7,bh,0.01,100,precision,0.0
nk_cells,1000,1,7,bh,0.01,100,recall,0.0
nk_cells,1000,1,7,bh,0.01,100,f1,0.0
nk_cells,1000,1,7,bh,0.05,100,precision,0.0
nk_cells,1000,1,7,bh,0.05,100,recall,0.0
nk_cells,1000,1,7,bh,0.05,100,f1,0.0
nk_cells,1000,1,8,raw,-1.0,100,mae,0.050913063957229665
nk_cells,1000,1,8,raw,0.01,100,precision,0.6052745352356247
nk_cells,1000,1,8,raw,0.01,100,recall,0.6294964028776978
nk_cells,1000,1,8,raw,0.01,100,f1,0.6171478950848578
nk_cells,1000,1,8,raw,0.05,100,precision,0.7695405915670233
nk_cells,1000,1,8,raw,0.05,100,recall,0.7991112272905503
nk_cells,1000,1,8,raw,0.05,100,f1,0.7840471915875865
nk_cells,1000,1,8,bh,-1.0,100,mae,0.026507701345813588
nk_cells,1000,1,8,bh,0.01,100,precision,0.0
nk_cells,1000,1,8,bh,0.01,100,recall,0.0
nk_cells,1000,1,8,bh,0.01,100,f1,0.0
nk_cells,1000,1,8,bh,0.05,100,precision,0.0
nk_cells,1000,1,8,bh,0.05,100,recall,0.0
nk_cells,1000,1,8,bh,0.05,100,f1,0.0
nk_cells,1000,1,9,raw,-1.0,100,mae,0.05020951431829476
nk_cells,1000,1,9,raw,0.01,100,precision,0.6247297881539127
nk_cells,1000,1,9,raw,0.01,100,recall,0.6343283582089553
nk_cells,1000,1,9,raw,0.01,100,f1,0.6294924852973208
nk_cells,1000,1,9,raw,0.05,100,precision,0.794587791063562
nk_cells,1000,1,9,raw,0.05,100,recall,0.8044087665647298
nk_cells,1000,1,9,raw,0.05,100,f1,0.7994681187868042
nk_cells,1000,1,9,bh,-1.0,100,mae,0.025700314757666206
nk_cells,1000,1,9,bh,0.01,100,precision,0.0
nk_cells,1000,1,9,bh,0.01,100,recall,0.0
nk_cells,1000,1,9,bh,0.01,100,f1,0.0
nk_cells,1000,1,9,bh,0.05,100,precision,0.0
nk_cells,1000,1,9,bh,0.05,100,recall,0.0
nk_cells,1000,1,9,bh,0.05,100,f1,0.0
nk_cells,1000,2,3,raw,-1.0,100,mae,0.04913085228253353
nk_cells,1000,2,3,raw,0.01,100,precision,0.6789719626168225
nk_cells,1000,2,3,raw,0.01,100,recall,0.7036319612590799
nk_cells,1000,2,3,raw,0.01,100,f1,0.6910820451843044
nk_cells,1000,2,3,raw,0.05,100,precision,0.8158571061423798
nk_cells,1000,2,3,raw,0.05,100,recall,0.8368261499934098
nk_cells,1000,2,3,raw,0.05,100,f1,0.8262086017307567
nk_cells,1000,2,3,bh,-1.0,100,mae,0.023410505072005143
nk_cells,1000,2,3,bh,0.01,100,precision,0.0
nk_cells,1000,2,3,bh,0.01,100,recall,0.0
nk_cells,1000,2,3,bh,0.01,100,f1,0.0
nk_cells,1000,2,3,bh,0.05,100,precision,0.0
nk_cells,1000,2,3,bh,0.05,100,recall,0.0
nk_cells,1000,2,3,bh,0.05,100,f1,0.0
nk_cells,1000,2,4,raw,-1.0,100,mae,0.04940014923413258
nk_cells,1000,2,4,raw,0.01,100,precision,0.655607476635514
nk_cells,1000,2,4,raw,0.01,100,recall,0.6322667868409193
nk_cells,1000,2,4,raw,0.01,100,f1,0.6437256251433815
nk_cells,1000,2,4,raw,0.05,100,precision,0.795810845540992
nk_cells,1000,2,4,raw,0.05,100,recall,0.8000258364552384
nk_cells,1000,2,4,raw,0.05,100,f1,0.7979127745925401
nk_cells,1000,2,4,bh,-1.0,100,mae,0.02417349586695781
nk_cells,1000,2,4,bh,0.01,100,precision,0.0
nk_cells,1000,2,4,bh,0.01,100,recall,0.0
nk_cells,1000,2,4,bh,0.01,100,f1,0.0
nk_cells,1000,2,4,bh,0.05,100,precision,0.0
nk_cells,1000,2,4,bh,0.05,100,recall,0.0
nk_cells,1000,2,4,bh,0.05,100,f1,0.0
nk_cells,1000,2,5,raw,-1.0,100,mae,0.05576502921554045
nk_cells,1000,2,5,raw,0.01,100,precision,0.6406542056074767
nk_cells,1000,2,5,raw,0.01,100,recall,0.6553537284894837
nk_cells,1000,2,5,raw,0.01,100,f1,0.6479206049149339
nk_cells,1000,2,5,raw,0.05,100,precision,0.8093035209457723
nk_cells,1000,2,5,raw,0.05,100,recall,0.8085761972011811
nk_cells,1000,2,5,raw,0.05,100,f1,0.808939695587952
nk_cells,1000,2,5,bh,-1.0,100,mae,0.02650275953913279
nk_cells,1000,2,5,bh,0.01,100,precision,0.0
nk_cells,1000,2,5,bh,0.01,100,recall,0.0
nk_cells,1000,2,5,bh,0.01,100,f1,0.0
nk_cells,1000,2,5,bh,0.05,100,precision,0.0
nk_cells,1000,2,5,bh,0.05,100,recall,0.0
nk_cells,1000,2,5,bh,0.05,100,f1,0.0
nk_cells,1000,2,6,raw,-1.0,100,mae,0.04859727339172897
nk_cells,1000,2,6,raw,0.01,100,precision,0.6789719626168225
nk_cells,1000,2,6,raw,0.01,100,recall,0.6739332096474954
nk_cells,1000,2,6,raw,0.01,100,f1,0.6764432029795159
nk_cells,1000,2,6,raw,0.05,100,precision,0.8189411462349011
nk_cells,1000,2,6,raw,0.05,100,recall,0.8249838187702265
nk_cells,1000,2,6,raw,0.05,100,f1,0.8219513767975752
nk_cells,1000,2,6,bh,-1.0,100,mae,0.023330174510794093
nk_cells,1000,2,6,bh,0.01,100,precision,0.0
nk_cells,1000,2,6,bh,0.01,100,recall,0.0
