dataset,mode,alpha,num_permutations,num_clusters,metric,score,num_sig,num_sig_approx
nk_cells,raw,0.05,1000,3,precision,0.8120052770448549,7863,7580
nk_cells,raw,0.05,1000,3,recall,0.7827801093730129,7863,7580
nk_cells,raw,0.05,1000,3,f1,0.7971249109628958,7863,7580
nk_cells,bh,-1.0,1000,3,mae,0.02503701273774552,-1,-1
nk_cells,bh,0.01,1000,3,precision,0.0,0,0
nk_cells,bh,0.01,1000,3,recall,0.0,0,0
nk_cells,bh,0.01,1000,3,f1,0.0,0,0
nk_cells,bh,0.05,1000,3,precision,0.0,0,0
nk_cells,bh,0.05,1000,3,recall,0.0,0,0
nk_cells,bh,0.05,1000,3,f1,0.0,0,0
nk_cells,raw,-1.0,1000,4,mae,0.051766458480909834,-1,-1
nk_cells,raw,0.01,1000,4,precision,0.662125340599455,2230,2202
nk_cells,raw,0.01,1000,4,recall,0.6538116591928251,2230,2202
nk_cells,raw,0.01,1000,4,f1,0.657942238267148,2230,2202
nk_cells,raw,0.05,1000,4,precision,0.806049822064057,7863,7868
nk_cells,raw,0.05,1000,4,recall,0.8065623807706982,7863,7868
nk_cells,raw,0.05,1000,4,f1,0.8063060199605874,7863,7868
nk_cells,bh,-1.0,1000,4,mae,0.025307182573336674,-1,-1
nk_cells,bh,0.01,1000,4,precision,0.0,0,0
nk_cells,bh,0.01,1000,4,recall,0.0,0,0
nk_cells,bh,0.01,1000,4,f1,0.0,0,0
nk_cells,bh,0.05,1000,4,precision,0.0,0,0
nk_cells,bh,0.05,1000,4,recall,0.0,0,0
nk_cells,bh,0.05,1000,4,f1,0.0,0,0
nk_cells,raw,-1.0,1000,5,mae,0.04788643158254205,-1,-1
nk_cells,raw,0.01,1000,5,precision,0.6889312977099237,2230,2096
nk_cells,raw,0.01,1000,5,recall,0.6475336322869956,2230,2096
nk_cells,raw,0.01,1000,5,f1,0.6675913083680074,2230,2096
nk_cells,raw,0.05,1000,5,precision,0.8211540966523382,7863,7677
nk_cells,raw,0.05,1000,5,recall,0.8017296197380135,7863,7677
nk_cells,raw,0.05,1000,5,f1,0.8113256113256113,7863,7677
nk_cells,bh,-1.0,1000,5,mae,0.023093411292251318,-1,-1
nk_cells,bh,0.01,1000,5,precision,0.0,0,0
nk_cells,bh,0.01,1000,5,recall,0.0,0,0
nk_cells,bh,0.01,1000,5,f1,0.0,0,0
nk_cells,bh,0.05,1000,5,precision,0.0,0,0
nk_cells,bh,0.05,1000,5,recall,0.0,0,0
nk_cells,bh,0.05,1000,5,f1,0.0,0,0
nk_cells,raw,-1.0,1000,6,mae,0.048762860940050785,-1,-1
nk_cells,raw,0.01,1000,6,precision,0.6821094135041893,2230,2029
nk_cells,raw,0.01,1000,6,recall,0.6206278026905829,2230,2029
nk_cells,raw,0.01,1000,6,f1,0.6499178210847617,2230,2029
nk_cells,raw,0.05,1000,6,precision,0.8156185031185031,7863,7696
nk_cells,raw,0.05,1000,6,recall,0.7982958158463691,7863,7696
nk_cells,raw,0.05,1000,6,f1,0.8068641943569638,7863,7696
nk_cells,bh,-1.0,1000,6,mae,0.023835024256874535,-1,-1
nk_cells,bh,0.01,1000,6,precision,0.0,0,0
nk_cells,bh,0.01,1000,6,recall,0.0,0,0
nk_cells,bh,0.01,1000,6,f1,0.0,0,0
nk_cells,bh,0.05,1000,6,precision,0.0,0,0
nk_cells,bh,0.05,1000,6,recall,0.0,0,0
nk_cells,bh,0.05,1000,6,f1,0.0,0,0
nk_cells,raw,-1.0,1000,7,mae,0.053632174718925014,-1,-1
nk_cells,raw,0.01,1000,7,precision,0.6851851851851852,2230,2106
nk_cells,raw,0.01,1000,7,recall,0.647085201793722,2230,2106
nk_cells,raw,0.01,1000,7,f1,0.665590405904059,2230,2106
nk_cells,raw,0.05,1000,7,precision,0.8045390794338901,7863,7843
nk_cells,raw,0.05,1000,7,recall,0.80249268726949,7863,7843
nk_cells,raw,0.05,1000,7,f1,0.803514580415128,7863,7843
nk_cells,bh,-1.0,1000,7,mae,0.025480652019765113,-1,-1
nk_cells,bh,0.01,1000,7,precision,0.0,0,0
nk_cells,bh,0.01,1000,7,recall,0.0,0,0
nk_cells,bh,0.01,1000,7,f1,0.0,0,0
nk_cells,bh,0.05,1000,7,precision,0.0,0,0
nk_cells,bh,0.05,1000,7,recall,0.0,0,0
nk_cells,bh,0.05,1000,7,f1,0.0,0,0
nk_cells,raw,-1.0,1000,8,mae,0.051160194817304556,-1,-1
nk_cells,raw,0.01,1000,8,precision,0.708,2230,2000
nk_cells,raw,0.01,1000,8,recall,0.6349775784753363,2230,2000
nk_cells,raw,0.01,1000,8,f1,0.6695035460992907,2230,2000
nk_cells,raw,0.05,1000,8,precision,0.819620253164557,7863,7584
nk_cells,raw,0.05,1000,8,recall,0.790537962609691,7863,7584
nk_cells,raw,0.05,1000,8,f1,0.8048164692173237,7863,7584
nk_cells,bh,-1.0,1000,8,mae,0.025054583127032168,-1,-1
nk_cells,bh,0.01,1000,8,precision,0.0,0,0
nk_cells,bh,0.01,1000,8,recall,0.0,0,0
nk_cells,bh,0.01,1000,8,f1,0.0,0,0
nk_cells,bh,0.05,1000,8,precision,0.0,0,0
nk_cells,bh,0.05,1000,8,recall,0.0,0,0
nk_cells,bh,0.05,1000,8,f1,0.0,0,0
nk_cells,raw,-1.0,1000,9,mae,0.053258720830134346,-1,-1
nk_cells,raw,0.01,1000,9,precision,0.6445366528354081,2230,2169
nk_cells,raw,0.01,1000,9,recall,0.6269058295964126,2230,2169
nk_cells,raw,0.01,1000,9,f1,0.6355989997726756,2230,2169
nk_cells,raw,0.05,1000,9,precision,0.7845741284637977,7863,7831
nk_cells,raw,0.05,1000,9,recall,0.7813811522319726,7863,7831
nk_cells,raw,0.05,1000,9,f1,0.7829743851153307,7863,7831
nk_cells,bh,-1.0,1000,9,mae,0.026403981875385577,-1,-1
nk_cells,bh,0.01,1000,9,precision,0.0,0,0
nk_cells,bh,0.01,1000,9,recall,0.0,0,0
nk_cells,bh,0.01,1000,9,f1,0.0,0,0
nk_cells,bh,0.05,1000,9,precision,0.0,0,0
nk_cells,bh,0.05,1000,9,recall,0.0,0,0
nk_cells,bh,0.05,1000,9,f1,0.0,0,0
nk_cells,raw,-1.0,1000,10,mae,0.05214832337473847,-1,-1
nk_cells,raw,0.01,1000,10,precision,0.6596244131455399,2230,2130
nk_cells,raw,0.01,1000,10,recall,0.6300448430493274,2230,2130
nk_cells,raw,0.01,1000,10,f1,0.6444954128440367,2230,2130
nk_cells,raw,0.05,1000,10,precision,0.8091927385090769,7863,7767
nk_cells,raw,0.05,1000,10,recall,0.7993132392216711,7863,7767
nk_cells,raw,0.05,1000,10,f1,0.8042226487523992,7863,7767
nk_cells,bh,-1.0,1000,10,mae,0.02495203076568024,-1,-1
nk_cells,bh,0.01,1000,10,precision,0.0,0,0
nk_cells,bh,0.01,1000,10,recall,0.0,0,0
nk_cells,bh,0.01,1000,10,f1,0.0,0,0
nk_cells,bh,0.05,1000,10,precision,0.0,0,0
nk_cells,bh,0.05,1000,10,recall,0.0,0,0
nk_cells,bh,0.05,1000,10,f1,0.0,0,0
nk_cells,raw,-1.0,1000,20,mae,0.05246723077702313,-1,-1
nk_cells,raw,0.01,1000,20,precision,0.7123510292524377,2230,1846
nk_cells,raw,0.01,1000,20,recall,0.5896860986547086,2230,1846
nk_cells,raw,0.01,1000,20,f1,0.6452404317958783,2230,1846
nk_cells,raw,0.05,1000,20,precision,0.8236076033497275,7863,7523
nk_cells,raw,0.05,1000,20,recall,0.7879944041714358,7863,7523
nk_cells,raw,0.05,1000,20,f1,0.8054075133238009,7863,7523
nk_cells,bh,-1.0,1000,20,mae,0.02575784726370139,-1,-1
nk_cells,bh,0.01,1000,20,precision,0.0,0,0
nk_cells,bh,0.01,1000,20,recall,0.0,0,0
nk_cells,bh,0.01,1000,20,f1,0.0,0,0
nk_cells,bh,0.05,1000,20,precision,0.0,0,0
nk_cells,bh,0.05,1000,20,recall,0.0,0,0
nk_cells,bh,0.05,1000,20,f1,0.0,0,0
nk_cells,raw,-1.0,1000,30,mae,0.05295596413705405,-1,-1
nk_cells,raw,0.01,1000,30,precision,0.6827751196172249,2230,2090
nk_cells,raw,0.01,1000,30,recall,0.6399103139013453,2230,2090
nk_cells,raw,0.01,1000,30,f1,0.6606481481481481,2230,2090
nk_cells,raw,0.05,1000,30,precision,0.8088964257761544,7863,7666
nk_cells,raw,0.05,1000,30,recall,0.7886302937809996,7863,7666
nk_cells,raw,0.05,1000,30,f1,0.7986348122866894,7863,7666
nk_cells,bh,-1.0,1000,30,mae,0.02550381627637528,-1,-1
nk_cells,bh,0.01,1000,30,precision,0.0,0,0
nk_cells,bh,0.01,1000,30,recall,0.0,0,0
nk_cells,bh,0.01,1000,30,f1,0.0,0,0
nk_cells,bh,0.05,1000,30,precision,0.0,0,0
nk_cells,bh,0.05,1000,30,recall,0.0,0,0
nk_cells,bh,0.05,1000,30,f1,0.0,0,0
nk_cells,raw,-1.0,1000,40,mae,0.04956810607964819,-1,-1
nk_cells,raw,0.01,1000,40,precision,0.7064356435643564,2230,2020
nk_cells,raw,0.01,1000,40,recall,0.6399103139013453,2230,2020
nk_cells,raw,0.01,1000,40,f1,0.6715294117647059,2230,2020
nk_cells,raw,0.05,1000,40,precision,0.8231094658910629,7863,7564
nk_cells,raw,0.05,1000,40,recall,0.7918097418288185,7863,7564
nk_cells,raw,0.05,1000,40,f1,0.8071562844363778,7863,7564
nk_cells,bh,-1.0,1000,40,mae,0.024427192578504113,-1,-1
nk_cells,bh,0.01,1000,40,precision,0.0,0,0
nk_cells,bh,0.01,1000,40,recall,0.0,0,0
nk_cells,bh,0.01,1000,40,f1,0.0,0,0
nk_cells,bh,0.05,1000,40,precision,0.0,0,0
nk_cells,bh,0.05,1000,40,recall,0.0,0,0
nk_cells,bh,0.05,1000,40,f1,0.0,0,0
nk_cells,raw,-1.0,1000,50,mae,0.051538058231428104,-1,-1
nk_cells,raw,0.01,1000,50,precision,0.7228370221327968,2230,1988
nk_cells,raw,0.01,1000,50,recall,0.6443946188340807,2230,1988
nk_cells,raw,0.01,1000,50,f1,0.6813655761024182,2230,1988
nk_cells,raw,0.05,1000,50,precision,0.8361461794019933,7863,7525
nk_cells,raw,0.05,1000,50,recall,0.8002034846750604,7863,7525
nk_cells,raw,0.05,1000,50,f1,0.8177800883805563,7863,7525
nk_cells,bh,-1.0,1000,50,mae,0.025519276579333162,-1,-1
nk_cells,bh,0.01,1000,50,precision,0.0,0,0
nk_cells,bh,0.01,1000,50,recall,0.0,0,0
nk_cells,bh,0.01,1000,50,f1,0.0,0,0
nk_cells,bh,0.05,1000,50,precision,0.0,0,0
nk_cells,bh,0.05,1000,50,recall,0.0,0,0
nk_cells,bh,0.05,1000,50,f1,0.0,0,0
nk_cells,raw,-1.0,1000,60,mae,0.050696194287424404,-1,-1
nk_cells,raw,0.01,1000,60,precision,0.6709046454767726,2230,2045
nk_cells,raw,0.01,1000,60,recall,0.6152466367713004,2230,2045
nk_cells,raw,0.01,1000,60,f1,0.6418713450292398,2230,2045
nk_cells,raw,0.05,1000,60,precision,0.8176781002638522,7863,7580
nk_cells,raw,0.05,1000,60,recall,0.7882487600152613,7863,7580
nk_cells,raw,0.05,1000,60,f1,0.8026937771158453,7863,7580
nk_cells,bh,-1.0,1000,60,mae,0.024875668581785387,-1,-1
nk_cells,bh,0.01,1000,60,precision,0.0,0,0
nk_cells,bh,0.01,1000,60,recall,0.0,0,0
nk_cells,bh,0.01,1000,60,f1,0.0,0,0
nk_cells,bh,0.05,1000,60,precision,0.0,0,0
nk_cells,bh,0.05,1000,60,recall,0.0,0,0
nk_cells,bh,0.05,1000,60,f1,0.0,0,0
nk_cells,raw,-1.0,1000,70,mae,0.05500997368816491,-1,-1
nk_cells,raw,0.01,1000,70,precision,0.6785028790786948,2230,2084
nk_cells,raw,0.01,1000,70,recall,0.6340807174887892,2230,2084
nk_cells,raw,0.01,1000,70,f1,0.6555401019935095,2230,2084
nk_cells,raw,0.05,1000,70,precision,0.8192959582790091,7863,7670
nk_cells,raw,0.05,1000,70,recall,0.7991860612997583,7863,7670
nk_cells,raw,0.05,1000,70,f1,0.8091160754522629,7863,7670
nk_cells,bh,-1.0,1000,70,mae,0.025949294921303632,-1,-1
nk_cells,bh,0.01,1000,70,precision,0.0,0,0
nk_cells,bh,0.01,1000,70,recall,0.0,0,0
nk_cells,bh,0.01,1000,70,f1,0.0,0,0
nk_cells,bh,0.05,1000,70,precision,0.0,0,0
nk_cells,bh,0.05,1000,70,recall,0.0,0,0
nk_cells,bh,0.05,1000,70,f1,0.0,0,0
nk_cells,raw,-1.0,1000,80,mae,0.04960243456343383,-1,-1
nk_cells,raw,0.01,1000,80,precision,0.6866757617098681,2230,2199
nk_cells,raw,0.01,1000,80,recall,0.6771300448430493,2230,2199
nk_cells,raw,0.01,1000,80,f1,0.6818694965003387,2230,2199
nk_cells,raw,0.05,1000,80,precision,0.8147118301314459,7863,7912
nk_cells,raw,0.05,1000,80,recall,0.8197888846496248,7863,7912
nk_cells,raw,0.05,1000,80,f1,0.817242472266244,7863,7912
nk_cells,bh,-1.0,1000,80,mae,0.024054780835422906,-1,-1
nk_cells,bh,0.01,1000,80,precision,0.0,0,0
nk_cells,bh,0.01,1000,80,recall,0.0,0,0
nk_cells,bh,0.01,1000,80,f1,0.0,0,0
nk_cells,bh,0.05,1000,80,precision,0.0,0,0
nk_cells,bh,0.05,1000,80,recall,0.0,0,0
nk_cells,bh,0.05,1000,80,f1,0.0,0,0
nk_cells,raw,-1.0,1000,90,mae,0.04889633134863451,-1,-1
nk_cells,raw,0.01,1000,90,precision,0.7057129140662506,2230,2083
nk_cells,raw,0.01,1000,90,recall,0.6591928251121076,2230,2083
nk_cells,raw,0.01,1000,90,f1,0.6816600973800139,2230,2083
nk_cells,raw,0.05,1000,90,precision,0.8285266866762364,7863,7663
nk_cells,raw,0.05,1000,90,recall,0.8074526262240875,7863,7663
nk_cells,raw,0.05,1000,90,f1,0.8178539224526601,7863,7663
nk_cells,bh,-1.0,1000,90,mae,0.02378152323174426,-1,-1
nk_cells,bh,0.01,1000,90,precision,0.0,0,0
nk_cells,bh,0.01,1000,90,recall,0.0,0,0
nk_cells,bh,0.01,1000,90,f1,0.0,0,0
nk_cells,bh,0.05,1000,90,precision,0.0,0,0
nk_cells,bh,0.05,1000,90,recall,0.0,0,0
nk_cells,bh,0.05,1000,90,f1,0.0,0,0
nk_cells,raw,-1.0,1000,100,mae,0.05391942567814814,-1,-1
nk_cells,raw,0.01,1000,100,precision,0.6666666666666666,2230,2082
nk_cells,raw,0.01,1000,100,recall,0.6224215246636772,2230,2082
nk_cells,raw,0.01,1000,100,f1,0.6437847866419295,2230,2082
nk_cells,raw,0.05,1000,100,precision,0.7997402597402598,7863,7700
nk_cells,raw,0.05,1000,100,recall,0.7831616431387511,7863,7700
nk_cells,raw,0.05,1000,100,f1,0.7913641328792649,7863,7700
nk_cells,bh,-1.0,1000,100,mae,0.026154971397436555,-1,-1
nk_cells,bh,0.01,1000,100,precision,0.0,0,0
nk_cells,bh,0.01,1000,100,recall,0.0,0,0
nk_cells,bh,0.01,1000,100,f1,0.0,0,0
nk_cells,bh,0.05,1000,100,precision,0.0,0,0
nk_cells,bh,0.05,1000,100,recall,0.0,0,0
nk_cells,bh,0.05,1000,100,f1,0.0,0,0
nk_cells,raw,-1.0,3000,1,mae,0.05735982844269576,-1,-1
nk_cells,raw,0.01,3000,1,precision,0.642962962962963,2181,2025
nk_cells,raw,0.01,3000,1,recall,0.5969738651994498,2181,2025
nk_cells,raw,0.01,3000,1,f1,0.6191155492154066,2181,2025
nk_cells,raw,0.05,3000,1,precision,0.8076120959332638,7894,7672
nk_cells,raw,0.05,3000,1,recall,0.784899923992906,7894,7672
nk_cells,raw,0.05,3000,1,f1,0.7960940511370936,7894,7672
nk_cells,bh,-1.0,3000,1,mae,0.02862215364946861,-1,-1
nk_cells,bh,0.01,3000,1,precision,0.0,0,0
nk_cells,bh,0.01,3000,1,recall,0.0,0,0
nk_cells,bh,0.01,3000,1,f1,0.0,0,0
nk_cells,bh,0.05,3000,1,precision,0.0,0,0
nk_cells,bh,0.05,3000,1,recall,0.0,0,0
nk_cells,bh,0.05,3000,1,f1,0.0,0,0
nk_cells,raw,-1.0,3000,2,mae,0.05146142652916334,-1,-1
nk_cells,raw,0.01,3000,2,precision,0.699749373433584,2181,1995
nk_cells,raw,0.01,3000,2,recall,0.6400733608436497,2181,1995
nk_cells,raw,0.01,3000,2,f1,0.6685823754789272,2181,1995
nk_cells,raw,0.05,3000,2,precision,0.830537577598732,7894,7571
nk_cells,raw,0.05,3000,2,recall,0.7965543450722068,7894,7571
nk_cells,raw,0.05,3000,2,f1,0.8131910766246363,7894,7571
nk_cells,bh,-1.0,3000,2,mae,0.026085489918034957,-1,-1
nk_cells,bh,0.01,3000,2,precision,0.0,0,0
nk_cells,bh,0.01,3000,2,recall,0.0,0,0
nk_cells,bh,0.01,3000,2,f1,0.0,0,0
nk_cells,bh,0.05,3000,2,precision,0.0,0,0
nk_cells,bh,0.05,3000,2,recall,0.0,0,0
nk_cells,bh,0.05,3000,2,f1,0.0,0,0
nk_cells,raw,-1.0,3000,3,mae,0.046649504976855515,-1,-1
nk_cells,raw,0.01,3000,3,precision,0.7014335145823035,2181,2023
nk_cells,raw,0.01,3000,3,recall,0.6506189821182944,2181,2023
nk_cells,raw,0.01,3000,3,f1,0.6750713606089439,2181,2023
nk_cells,raw,0.05,3000,3,precision,0.8333333333333334,7894,7674
nk_cells,raw,0.05,3000,3,recall,0.8101089435013935,7894,7674
nk_cells,raw,0.05,3000,3,f1,0.82155704008222,7894,7674
nk_cells,bh,-1.0,3000,3,mae,0.023666321042364383,-1,-1
nk_cells,bh,0.01,3000,3,precision,0.0,0,0
nk_cells,bh,0.01,3000,3,recall,0.0,0,0
nk_cells,bh,0.01,3000,3,f1,0.0,0,0
nk_cells,bh,0.05,3000,3,precision,0.0,0,0
nk_cells,bh,0.05,3000,3,recall,0.0,0,0
nk_cells,bh,0.05,3000,3,f1,0.0,0,0
nk_cells,raw,-1.0,3000,4,mae,0.045872195652993226,-1,-1
nk_cells,raw,0.01,3000,4,precision,0.6830188679245283,2181,2120
nk_cells,raw,0.01,3000,4,recall,0.6639156350298029,2181,2120
nk_cells,raw,0.01,3000,4,f1,0.6733317833062079,2181,2120
nk_cells,raw,0.05,3000,4,precision,0.8229100596219713,7894,7883
nk_cells,raw,0.05,3000,4,recall,0.8217633645806942,7894,7883
nk_cells,raw,0.05,3000,4,f1,0.8223363123534259,7894,7883
nk_cells,bh,-1.0,3000,4,mae,0.022860741070970643,-1,-1
nk_cells,bh,0.01,3000,4,precision,0.0,0,0
nk_cells,bh,0.01,3000,4,recall,0.0,0,0
nk_cells,bh,0.01,3000,4,f1,0.0,0,0
nk_cells,bh,0.05,3000,4,precision,0.0,0,0
nk_cells,bh,0.05,3000,4,recall,0.0,0,0
nk_cells,bh,0.05,3000,4,f1,0.0,0,0
nk_cells,raw,-1.0,3000,5,mae,0.05263104561576344,-1,-1
nk_cells,raw,0.01,3000,5,precision,0.6907669760625306,2181,2047
nk_cells,raw,0.01,3000,5,recall,0.6483264557542412,2181,2047
nk_cells,raw,0.01,3000,5,f1,0.6688741721854304,2181,2047
nk_cells,raw,0.05,3000,5,precision,0.8333116121464876,7894,7673
nk_cells,raw,0.05,3000,5,recall,0.809982265011401,7894,7673
nk_cells,raw,0.05,3000,5,f1,0.8214813387293634,7894,7673
nk_cells,bh,-1.0,3000,5,mae,0.02583170098952103,-1,-1
nk_cells,bh,0.01,3000,5,precision,0.0,0,0
nk_cells,bh,0.01,3000,5,recall,0.0,0,0
nk_cells,bh,0.01,3000,5,f1,0.0,0,0
nk_cells,bh,0.05,3000,5,precision,0.0,0,0
nk_cells,bh,0.05,3000,5,recall,0.0,0,0
nk_cells,bh,0.05,3000,5,f1,0.0,0,0
nk_cells,raw,-1.0,3000,6,mae,0.052077928979578046,-1,-1
nk_cells,raw,0.01,3000,6,precision,0.6608325449385052,2181,2114
nk_cells,raw,0.01,3000,6,recall,0.6405318661164603,2181,2114
nk_cells,raw,0.01,3000,6,f1,0.650523864959255,2181,2114
nk_cells,raw,0.05,3000,6,precision,0.819024327455271,7894,7769
nk_cells,raw,0.05,3000,6,recall,0.8060552318216366,7894,7769
nk_cells,raw,0.05,3000,6,f1,0.8124880291131967,7894,7769
nk_cells,bh,-1.0,3000,6,mae,0.026318277342727577,-1,-1
nk_cells,bh,0.01,3000,6,precision,0.0,0,0
nk_cells,bh,0.01,3000,6,recall,0.0,0,0
nk_cells,bh,0.01,3000,6,f1,0.0,0,0
nk_cells,bh,0.05,3000,6,precision,0.0,0,0
nk_cells,bh,0.05,3000,6,recall,0.0,0,0
nk_cells,bh,0.05,3000,6,f1,0.0,0,0
nk_cells,raw,-1.0,3000,7,mae,0.04773447939264264,-1,-1
nk_cells,raw,0.01,3000,7,precision,0.7178978681209718,2181,2017
nk_cells,raw,0.01,3000,7,recall,0.6639156350298029,2181,2017
nk_cells,raw,0.01,3000,7,f1,0.6898523106241067,2181,2017
nk_cells,raw,0.05,3000,7,precision,0.8429203539823009,7894,7684
nk_cells,raw,0.05,3000,7,recall,0.8204965796807702,7894,7684
nk_cells,raw,0.05,3000,7,f1,0.8315573244318911,7894,7684
nk_cells,bh,-1.0,3000,7,mae,0.02357252783860387,-1,-1
nk_cells,bh,0.01,3000,7,precision,0.0,0,0
nk_cells,bh,0.01,3000,7,recall,0.0,0,0
nk_cells,bh,0.01,3000,7,f1,0.0,0,0
nk_cells,bh,0.05,3000,7,precision,0.0,0,0
nk_cells,bh,0.05,3000,7,recall,0.0,0,0
nk_cells,bh,0.05,3000,7,f1,0.0,0,0
nk_cells,raw,-1.0,3000,8,mae,0.04971588209924193,-1,-1
nk_cells,raw,0.01,3000,8,precision,0.6786916786916787,2181,2079
nk_cells,raw,0.01,3000,8,recall,0.6469509399358092,2181,2079
nk_cells,raw,0.01,3000,8,f1,0.6624413145539906,2181,2079
nk_cells,raw,0.05,3000,8,precision,0.8269932256383533,7894,7676
nk_cells,raw,0.05,3000,8,recall,0.8041550544717507,7894,7676
nk_cells,raw,0.05,3000,8,f1,0.8154142581888246,7894,7676
nk_cells,bh,-1.0,3000,8,mae,0.02479019657948222,-1,-1
nk_cells,bh,0.01,3000,8,precision,0.0,0,0
nk_cells,bh,0.01,3000,8,recall,0.0,0,0
nk_cells,bh,0.01,3000,8,f1,0.0,0,0
nk_cells,bh,0.05,3000,8,precision,0.0,0,0
nk_cells,bh,0.05,3000,8,recall,0.0,0,0
nk_cells,bh,0.05,3000,8,f1,0.0,0,0
nk_cells,raw,-1.0,3000,9,mae,0.05038669517665784,-1,-1
nk_cells,raw,0.01,3000,9,precision,0.6782608695652174,2181,2070
nk_cells,raw,0.01,3000,9,recall,0.6437414030261348,2181,2070
nk_cells,raw,0.01,3000,9,f1,0.6605504587155964,2181,2070
nk_cells,raw,0.05,3000,9,precision,0.8230458045152029,7894,7663
nk_cells,raw,0.05,3000,9,recall,0.7989612363820623,7894,7663
nk_cells,raw,0.05,3000,9,f1,0.8108247091341518,7894,7663
nk_cells,bh,-1.0,3000,9,mae,0.024676254586899062,-1,-1
nk_cells,bh,0.01,3000,9,precision,0.0,0,0
nk_cells,bh,0.01,3000,9,recall,0.0,0,0
nk_cells,bh,0.01,3000,9,f1,0.0,0,0
nk_cells,bh,0.05,3000,9,precision,0.0,0,0
nk_cells,bh,0.05,3000,9,recall,0.0,0,0
nk_cells,bh,0.05,3000,9,f1,0.0,0,0
nk_cells,raw,-1.0,3000,10,mae,0.052263805673573485,-1,-1
nk_cells,raw,0.01,3000,10,precision,0.6778425655976676,2181,2058
nk_cells,raw,0.01,3000,10,recall,0.6396148555708391,2181,2058
nk_cells,raw,0.01,3000,10,f1,0.6581740976645435,2181,2058
nk_cells,raw,0.05,3000,10,precision,0.8263144127648444,7894,7646
nk_cells,raw,0.05,3000,10,recall,0.8003546997719787,7894,7646
nk_cells,raw,0.05,3000,10,f1,0.8131274131274131,7894,7646
nk_cells,bh,-1.0,3000,10,mae,0.025798475588916358,-1,-1
nk_cells,bh,0.01,3000,10,precision,0.0,0,0
nk_cells,bh,0.01,3000,10,recall,0.0,0,0
nk_cells,bh,0.01,3000,10,f1,0.0,0,0
nk_cells,bh,0.05,3000,10,precision,0.0,0,0
nk_cells,bh,0.05,3000,10,recall,0.0,0,0
nk_cells,bh,0.05,3000,10,f1,0.0,0,0
nk_cells,raw,-1.0,3000,20,mae,0.04499525684263849,-1,-1
nk_cells,raw,0.01,3000,20,precision,0.7334987593052109,2181,2015
nk_cells,raw,0.01,3000,20,recall,0.6776707932141219,2181,2015
nk_cells,raw,0.01,3000,20,f1,0.7044804575786463,2181,2015
nk_cells,raw,0.05,3000,20,precision,0.8455391065112013,7894,7633
nk_cells,raw,0.05,3000,20,recall,0.8175829744109451,7894,7633
nk_cells,raw,0.05,3000,20,f1,0.831326077155922,7894,7633
nk_cells,bh,-1.0,3000,20,mae,0.023914572183582967,-1,-1
nk_cells,bh,0.01,3000,20,precision,0.0,0,0
nk_cells,bh,0.01,3000,20,recall,0.0,0,0
nk_cells,bh,0.01,3000,20,f1,0.0,0,0
nk_cells,bh,0.05,3000,20,precision,0.0,0,0
nk_cells,bh,0.05,3000,20,recall,0.0,0,0
nk_cells,bh,0.05,3000,20,f1,0.0,0,0
